k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 200 40000 23.527 0.9983 0.00026738 3.4527 0.9992 7.9439e-05 3.433 0 0 0 0 0 0 0 1 2 10 987 
10 200 100000 23.527 0.9998 1.998e-05 6.6223 0.9999 1e-05 6.8191 0 0 0 0 0 0 0 0 0 2 998 
10 200 200000 23.527 1 0 11.949 1 0 11.515 0 0 0 0 0 0 0 0 0 0 1000 
10 200 400000 23.527 1 0 21.994 1 0 22.833 0 0 0 0 0 0 0 0 0 0 1000 
10 400 25 46.2214 0.9226 0.019228 0.6222 0.9274 0.018728 0.61773 0 1 3 3 10 16 26 42 98 154 647 
10 400 50 46.221 0.9226 0.019228 0.61755 0.9274 0.018728 0.61534 0 1 3 3 10 16 26 42 98 154 647 
10 400 100 46.221 0.9226 0.019228 0.61672 0.9274 0.018728 0.61929 0 1 3 3 10 16 26 42 98 154 647 
10 400 200 46.221 0.9226 0.019228 0.61661 0.9274 0.018728 0.6231 0 1 3 3 10 16 26 42 98 154 647 
10 400 400 46.221 0.9243 0.019039 0.80691 0.9284 0.018692 0.7699 0 1 3 3 10 16 26 39 93 156 653 
10 400 1000 46.221 0.9589 0.0090899 0.98277 0.9621 0.0085622 0.98379 0 0 0 3 2 4 15 18 56 132 770 
10 400 2000 46.221 0.9746 0.0056605 1.1289 0.9799 0.0038498 1.1257 0 0 0 3 1 1 5 11 37 95 847 
10 400 4000 46.221 0.9864 0.0028379 1.3712 0.9899 0.0016296 1.3751 0 0 0 1 1 2 0 3 18 68 907 
10 400 10000 46.221 0.994 0.0011051 1.9001 0.9949 0.00074473 1.8908 0 0 0 0 0 2 0 0 7 36 955 
10 400 20000 46.221 0.997 0.00055155 2.562 0.9976 0.00029453 2.5591 0 0 0 0 0 1 0 0 3 19 977 
10 400 40000 46.221 0.9979 0.00036596 3.6643 0.9991 8.9279e-05 3.7126 0 0 0 0 0 0 1 0 2 13 984 
10 400 100000 46.221 0.9992 0.00011948 6.6486 0.9997 2.994e-05 6.6516 0 0 0 0 0 0 0 0 2 4 994 
10 400 200000 46.221 0.9998 1.998e-05 11.389 0.9999 1e-05 11.324 0 0 0 0 0 0 0 0 0 2 998 
10 400 400000 46.221 1 0 20.907 1 0 20.666 0 0 0 0 0 0 0 0 0 0 1000 
