k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 13 0.036 10 1 2.5e-07 8.9255 0.7805 0.058228 0.10951 0 0.0029051 0.013241 0.093069 249.43 58000 100 0.7759 0.059809 0.11043 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 3.75e-07 8.9255 0.7805 0.058228 0.10954 0 0.0029223 0.013361 0.092968 249.43 58000 100 0.7759 0.059809 0.10966 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 5e-07 8.9255 0.7805 0.058228 0.1109 0 0.0028993 0.014093 0.093606 249.43 58000 100 0.7759 0.059809 0.11276 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 7.5e-07 8.9255 0.7805 0.058228 0.11144 0 0.0029537 0.013462 0.094718 249.43 58000 100 0.7759 0.059809 0.11121 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1e-06 8.9255 0.7805 0.058228 0.10983 0 0.0029078 0.013365 0.093251 249.43 58000 100 0.7759 0.059809 0.10975 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1.375e-06 8.9255 0.7805 0.058228 0.1104 0 0.0029205 0.013393 0.093778 249.43 58000 100 0.7759 0.059809 0.10993 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1.75e-06 8.9255 0.7805 0.058228 0.1096 0 0.0029119 0.013324 0.093076 249.43 58000 100 0.7759 0.059809 0.11064 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 2.5e-06 8.9255 0.7805 0.058228 0.10955 0 0.0029157 0.013366 0.092974 249.43 58000 100 0.7759 0.059809 0.11108 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 3.75e-06 8.9255 0.7805 0.058228 0.10964 0 0.0028916 0.013318 0.093137 249.43 58000 100 0.7759 0.059809 0.10972 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 5e-06 8.9255 0.7805 0.058228 0.11171 0 0.002888 0.014332 0.094197 249.43 58000 100 0.7759 0.059809 0.11572 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 7.5e-06 8.9255 0.7805 0.058228 0.11111 0 0.0029117 0.014099 0.093809 249.43 58000 100 0.7759 0.059809 0.11128 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1e-05 8.9255 0.7805 0.058228 0.11118 0 0.0028919 0.014108 0.093863 249.43 58000 100 0.7759 0.059809 0.11118 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1.375e-05 8.9255 0.7805 0.058228 0.10955 0 0.0029161 0.013279 0.093057 249.43 58000 100 0.7759 0.059809 0.10974 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1.75e-05 8.9255 0.7805 0.058228 0.10955 0 0.0029156 0.013265 0.093079 249.43 58000 100 0.7759 0.059809 0.11015 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 2.5e-05 8.9255 0.7805 0.058228 0.15022 0 0.0049144 0.02389 0.1209 249.43 58000 100 0.7759 0.059809 0.11264 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 3.75e-05 8.9255 0.7805 0.058228 0.11032 0 0.0038211 0.013559 0.092641 249.43 58000 100 0.7759 0.059809 0.11 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 5e-05 8.9255 0.7805 0.058228 0.11042 0 0.0035609 0.013527 0.093033 249.43 58000 100 0.7759 0.059809 0.11072 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 7.5e-05 8.9255 0.7805 0.058228 0.10992 0 0.0036565 0.013522 0.092446 249.43 58000 100 0.7759 0.059809 0.10969 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 0.0001 8.9255 0.7805 0.058228 0.10957 0 0.003671 0.013428 0.092174 249.43 58000 100 0.7759 0.059809 0.10965 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 0.0001375 8.9255 0.7805 0.058228 0.10997 0 0.0035527 0.013473 0.092659 249.43 58000 100 0.7759 0.059809 0.11014 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 0.000175 8.9255 0.7805 0.058228 0.11005 0 0.0035563 0.013397 0.092801 249.43 58000 100 0.7759 0.059809 0.11008 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 0.00025 8.9255 0.7805 0.058228 0.11035 0 0.0035094 0.013564 0.092983 249.43 58000 100 0.7759 0.059809 0.1102 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 0.000375 8.9255 0.7805 0.058228 0.10957 0 0.0036678 0.013383 0.092219 249.43 58000 100 0.7759 0.059809 0.10966 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 0.0005 8.9255 0.78 0.058078 0.10975 0 0.0035386 0.013487 0.092436 248.75 58000 100 0.7758 0.059834 0.10996 8 18 19 25 45 58 80 97 130 200 320 
10 5 13 0.036 10 1 0.00075 8.9255 0.7769 0.057954 0.10805 0 0.0035327 0.013386 0.090814 244.13 58000 100 0.7735 0.059928 0.10843 8 18 20 24 46 58 82 100 134 199 311 
