k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 13 0.036 10 1 2.5e-07 8.3087 0.6983 0.074201 0.12296 0 0.0028477 0.013366 0.10644 284.25 58000 100 100 0.7245 0.072402 0.12293 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 3.75e-07 8.3087 0.6983 0.074201 0.12365 0 0.0028057 0.013713 0.10683 284.25 58000 100 100 0.7245 0.072402 0.12274 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 5e-07 8.3087 0.6983 0.074201 0.12334 0 0.0027139 0.013422 0.1069 284.25 58000 100 100 0.7245 0.072402 0.12921 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 7.5e-07 8.3087 0.6983 0.074201 0.12292 0 0.0028837 0.013222 0.10652 284.25 58000 100 100 0.7245 0.072402 0.12769 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1e-06 8.3087 0.6983 0.074201 0.1263 0 0.0029412 0.013899 0.10911 284.25 58000 100 100 0.7245 0.072402 0.12294 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1.375e-06 8.3087 0.6983 0.074201 0.12301 0 0.0028579 0.013268 0.10658 284.25 58000 100 100 0.7245 0.072402 0.12282 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1.75e-06 8.3087 0.6983 0.074201 0.12304 0 0.0028034 0.013416 0.10652 284.25 58000 100 100 0.7245 0.072402 0.12285 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 2.5e-06 8.3087 0.6983 0.074201 0.12324 0 0.0026955 0.013316 0.10693 284.25 58000 100 100 0.7245 0.072402 0.12289 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 3.75e-06 8.3087 0.6983 0.074201 0.12413 0 0.0027511 0.013937 0.10713 284.25 58000 100 100 0.7245 0.072402 0.12293 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 5e-06 8.3087 0.6983 0.074201 0.12286 0 0.0028422 0.013305 0.10641 284.25 58000 100 100 0.7245 0.072402 0.12721 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 7.5e-06 8.3087 0.6983 0.074201 0.1232 0 0.0030415 0.013502 0.10636 284.25 58000 100 100 0.7245 0.072402 0.12282 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1e-05 8.3087 0.6983 0.074201 0.12214 0 0.0027329 0.01333 0.10577 284.25 58000 100 100 0.7245 0.072402 0.12189 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1.375e-05 8.3087 0.6983 0.074201 0.12199 0 0.0027724 0.013351 0.10556 284.25 58000 100 100 0.7245 0.072402 0.12199 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 1.75e-05 8.3087 0.6983 0.074201 0.12194 0 0.0027958 0.01333 0.10551 284.25 58000 100 100 0.7245 0.072402 0.12193 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 2.5e-05 8.3087 0.6983 0.074201 0.12258 0 0.0027304 0.013642 0.1059 284.25 58000 100 100 0.7245 0.072402 0.12188 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 3.75e-05 8.3087 0.6983 0.074201 0.12207 0 0.0027762 0.013294 0.1057 284.25 58000 100 100 0.7245 0.072402 0.12194 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 5e-05 8.3087 0.6983 0.074201 0.12378 0 0.0026714 0.014266 0.10654 284.25 58000 100 100 0.7245 0.072402 0.12187 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 7.5e-05 8.3087 0.6983 0.074201 0.12237 0 0.0026273 0.013338 0.1061 284.25 58000 100 100 0.7245 0.072402 0.12215 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 0.0001 8.3087 0.6983 0.074201 0.12251 0 0.0028928 0.01343 0.10588 284.25 58000 100 100 0.7245 0.072402 0.12246 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 0.0001375 8.3087 0.6983 0.074201 0.12291 0 0.0027318 0.013382 0.10649 284.25 58000 100 100 0.7245 0.072402 0.12285 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 0.000175 8.3087 0.6983 0.074201 0.12303 0 0.0027337 0.013421 0.10658 284.25 58000 100 100 0.7245 0.072402 0.1227 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 0.00025 8.3087 0.6983 0.074201 0.12281 0 0.0027355 0.013349 0.10642 284.25 58000 100 100 0.7245 0.072402 0.12283 26 26 35 42 67 76 80 133 137 174 204 
10 5 13 0.036 10 1 0.000375 8.3087 0.6982 0.074151 0.12452 0 0.0027293 0.014576 0.10691 284.17 58000 100 100 0.7245 0.072402 0.12425 26 26 35 42 67 76 80 133 137 175 203 
10 5 13 0.036 10 1 0.0005 8.3087 0.698 0.07407 0.12442 0 0.0027207 0.014422 0.10697 283.5 58000 100 100 0.7243 0.072332 0.12383 26 26 35 42 67 76 80 133 138 175 202 
10 5 13 0.036 10 1 0.00075 8.3087 0.697 0.073885 0.12171 0 0.0027396 0.013417 0.10525 280.77 58000 100 100 0.7223 0.071865 0.1209 26 26 36 41 67 77 79 134 140 176 198 
10 5 13 0.036 10 1 0.001 8.3087 0.6935 0.073401 0.11913 0 0.0027311 0.013404 0.10269 273.81 58000 100 100 0.72 0.071932 0.11849 26 26 36 42 69 76 83 133 143 178 188 
10 5 13 0.036 10 1 0.001375 8.3087 0.6756 0.0749 0.1121 0 0.0026817 0.014338 0.094781 250.35 58000 100 100 0.7015 0.07256 0.11127 29 26 41 49 73 77 91 135 147 163 169 
10 5 13 0.036 10 1 0.00175 8.3087 0.6477 0.078854 0.10025 0 0.0025905 0.014207 0.083151 217.48 58000 100 100 0.6754 0.07553 0.10082 38 28 45 55 87 80 101 135 134 147 150 
10 5 13 0.036 10 1 0.0025 8.3087 0.5983 0.080848 0.080378 0 0.0025056 0.013265 0.064311 165.71 58000 100 100 0.6225 0.082366 0.080055 48 40 49 73 88 110 108 140 105 134 105 
10 5 13 0.036 10 1 0.00375 8.3087 0.5002 0.085145 0.05207 0 0.0022665 0.012778 0.036734 88.35 58000 100 100 0.5308 0.087138 0.050972 81 70 79 106 98 108 109 114 95 88 52 
10 5 13 0.036 10 1 0.005 8.3087 0.436 0.081085 0.040516 0 0.0020638 0.012665 0.0255 58.563 58000 100 100 0.4559 0.08507 0.039317 114 88 97 113 105 115 109 99 72 59 29 
10 5 13 0.036 10 1 0.0075 8.3087 0.2989 0.070119 0.024914 0 0.0018182 0.012146 0.010611 21.517 58000 100 100 0.3216 0.072426 0.024338 235 146 116 122 97 76 86 55 37 20 10 
10 5 13 0.036 10 1 0.01 8.3087 0.2112 0.054749 0.021053 0 0.0018247 0.01235 0.0064935 11.994 58000 100 100 0.2261 0.056325 0.020176 360 164 129 99 65 71 53 29 16 11 3 
10 5 14 0.036 10 1 1e-07 10.9856 0.6132 0.080927 0.079115 0 0.0034367 0.014232 0.061247 154.92 58000 100 100 0.6153 0.092068 0.076641 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1.375e-07 10.986 0.6132 0.080927 0.075932 0 0.0029585 0.012389 0.060305 154.92 58000 100 100 0.6153 0.092068 0.075522 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1.75e-07 10.986 0.6132 0.080927 0.075986 0 0.0029916 0.012405 0.06032 154.92 58000 100 100 0.6153 0.092068 0.075592 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 2.5e-07 10.986 0.6132 0.080927 0.07593 0 0.0029848 0.012313 0.060361 154.92 58000 100 100 0.6153 0.092068 0.075402 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 3.75e-07 10.986 0.6132 0.080927 0.075879 0 0.0029686 0.012317 0.060321 154.92 58000 100 100 0.6153 0.092068 0.075415 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 5e-07 10.986 0.6132 0.080927 0.075883 0 0.0029493 0.012355 0.060302 154.92 58000 100 100 0.6153 0.092068 0.075456 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 7.5e-07 10.986 0.6132 0.080927 0.075884 0 0.0029644 0.01233 0.060317 154.92 58000 100 100 0.6153 0.092068 0.075932 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1e-06 10.986 0.6132 0.080927 0.076284 0 0.0029982 0.012404 0.060612 154.92 58000 100 100 0.6153 0.092068 0.075582 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1.375e-06 10.986 0.6132 0.080927 0.075904 0 0.0029666 0.012291 0.060359 154.92 58000 100 100 0.6153 0.092068 0.075503 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1.75e-06 10.986 0.6132 0.080927 0.075959 0 0.0029577 0.012246 0.060476 154.92 58000 100 100 0.6153 0.092068 0.075457 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 2.5e-06 10.986 0.6132 0.080927 0.075889 0 0.0029464 0.012336 0.060333 154.92 58000 100 100 0.6153 0.092068 0.075638 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 3.75e-06 10.986 0.6132 0.080927 0.076026 0 0.0029757 0.012365 0.060396 154.92 58000 100 100 0.6153 0.092068 0.075435 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 5e-06 10.986 0.6132 0.080927 0.075885 0 0.0029524 0.012234 0.060425 154.92 58000 100 100 0.6153 0.092068 0.075527 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 7.5e-06 10.986 0.6132 0.080927 0.075913 0 0.0029856 0.012302 0.060351 154.92 58000 100 100 0.6153 0.092068 0.075502 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1e-05 10.986 0.6132 0.080927 0.075939 0 0.0029676 0.012323 0.06037 154.92 58000 100 100 0.6153 0.092068 0.075453 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1.375e-05 10.986 0.6132 0.080927 0.076038 0 0.0029462 0.012395 0.060418 154.92 58000 100 100 0.6153 0.092068 0.075381 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 1.75e-05 10.986 0.6132 0.080927 0.083158 0 0.0030539 0.014965 0.064784 154.92 58000 100 100 0.6153 0.092068 0.076013 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 2.5e-05 10.986 0.6132 0.080927 0.075877 0 0.0029727 0.01233 0.060297 154.92 58000 100 100 0.6153 0.092068 0.07544 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 3.75e-05 10.986 0.6132 0.080927 0.075685 0 0.0030481 0.012238 0.060129 154.92 58000 100 100 0.6153 0.092068 0.075201 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 5e-05 10.986 0.6132 0.080927 0.075942 0 0.0029658 0.012351 0.060349 154.92 58000 100 100 0.6153 0.092068 0.075456 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 7.5e-05 10.986 0.6132 0.080927 0.075889 0 0.0029689 0.012261 0.06038 154.92 58000 100 100 0.6153 0.092068 0.075534 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.0001 10.986 0.6132 0.080927 0.075953 0 0.0029822 0.012286 0.060408 154.92 58000 100 100 0.6153 0.092068 0.075496 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.0001375 10.986 0.6132 0.080927 0.081464 0 0.0032744 0.01331 0.064579 154.92 58000 100 100 0.6153 0.092068 0.075953 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.000175 10.986 0.6132 0.080927 0.075485 0 0.0029848 0.012356 0.059864 154.92 58000 100 100 0.6153 0.092068 0.074814 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.00025 10.986 0.6132 0.080927 0.075292 0 0.0028592 0.012346 0.0598 154.92 58000 100 100 0.6153 0.092068 0.074654 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.000375 10.986 0.6132 0.080927 0.075294 0 0.0028539 0.012253 0.0599 154.92 58000 100 100 0.6153 0.092068 0.074747 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.0005 10.986 0.6132 0.080927 0.075314 0 0.002856 0.012474 0.059711 154.92 58000 100 100 0.6153 0.092068 0.074774 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.00075 10.986 0.6132 0.080927 0.075162 0 0.0028931 0.012269 0.059714 154.75 58000 100 100 0.6152 0.092001 0.074781 41 40 51 74 76 100 110 131 129 125 123 
10 5 14 0.036 10 1 0.001 10.986 0.6131 0.080859 0.075179 0 0.002845 0.012528 0.059528 154.51 58000 100 100 0.615 0.091927 0.074529 41 40 51 74 76 100 110 131 129 126 122 
10 5 14 0.036 10 1 0.001375 10.986 0.6106 0.080428 0.074425 0 0.0028779 0.012335 0.058923 152.36 58000 100 100 0.613 0.091162 0.073873 41 40 51 74 77 106 108 131 129 123 120 
10 5 14 0.036 10 1 0.00175 10.986 0.6053 0.079862 0.072969 0 0.0029783 0.012361 0.057352 148.78 58000 100 100 0.6061 0.090203 0.072321 42 41 52 73 78 111 108 130 132 122 111 
10 5 14 0.036 10 1 0.0025 10.986 0.5861 0.079616 0.069519 0 0.0028111 0.012261 0.054158 138.72 58000 100 100 0.5934 0.089146 0.069172 44 45 59 80 85 108 113 127 127 125 87 
10 5 14 0.036 10 1 0.00375 10.986 0.5369 0.078227 0.0595 0 0.0027618 0.012277 0.044183 110.08 58000 100 100 0.5424 0.088771 0.058813 56 55 71 90 106 116 120 116 119 96 55 
10 5 14 0.036 10 1 0.005 10.986 0.4957 0.076548 0.05272 0 0.002648 0.012177 0.037607 91.332 58000 100 100 0.5086 0.085612 0.052541 69 65 82 100 119 124 124 104 96 78 39 
10 5 14 0.036 10 1 0.0075 10.986 0.3761 0.076235 0.032777 0 0.0023703 0.012404 0.017736 39.118 58000 100 100 0.3883 0.082836 0.032017 143 116 131 104 122 109 78 80 60 40 17 
10 5 14 0.036 10 1 0.01 10.986 0.3272 0.068108 0.030083 0 0.0022257 0.012183 0.015388 32.598 58000 100 100 0.3355 0.072642 0.029508 180 127 154 113 105 107 68 73 42 22 9 
10 10 12 0.036 10 1 1e-07 6.79818 0.9151 0.024787 0.35737 0 0.004995 0.023986 0.32818 908.77 58000 100 100 0.9143 0.02421 0.35819 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1.375e-07 6.7982 0.9151 0.024787 0.35313 0 0.004704 0.021068 0.32715 908.77 58000 100 100 0.9143 0.02421 0.35588 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 1.75e-07 6.7982 0.9151 0.024787 0.35273 0 0.0046947 0.02103 0.3268 908.77 58000 100 100 0.9143 0.02421 0.35594 2 2 7 5 8 19 32 46 71 169 639 
10 10 12 0.036 10 1 2.5e-07 6.7982 0.9151 0.024787 0.35283 0 0.004746 0.021101 0.32677 908.77 58000 100 100 0.9143 0.02421 0.35562 2 2 7 5 8 19 32 46 71 169 639 
