k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 25 5 0.045 13 0.76058 0 0 0.018892 0 0 0 0.020126
10 25 5 0.045 14 0.76058 0 0 0.018899 0 0 0 0.020125
10 25 5 0.045 15 0.76058 0 0 0.01903 0 0 0 0.020115
10 25 5 0.045 17 0.76058 0 0 0.018899 0 0 0 0.02013
10 25 5 0.045 20 0.76058 0 0 0.018895 0 0 0 0.020603
10 25 5 0.045 25 0.76058 0 0 0.018883 0 0 0 0.020135
10 25 6 0.045 1 0.848268 0.462 0.0244 1.1343 32380 0.482 0.024117 1.1008
10 25 6 0.045 2 0.84827 0.121 0.010969 0.22194 5880.1 0.139 0.012504 0.22508
10 25 6 0.045 3 0.84827 0.018 0.0018949 0.050285 729.61 0.023 0.0021929 0.049987
10 25 6 0.045 4 0.84827 0.002 0.00019798 0.021768 67.32 0.002 0.00019798 0.017685
10 25 6 0.045 5 0.84827 0 0 0.012463 5.04 0.001 0.0001 0.014045
10 25 6 0.045 6 0.84827 0 0 0.012143 0.48 0 0 0.013861
10 25 6 0.045 7 0.84827 0 0 0.012103 0.01 0 0 0.01385
10 25 6 0.045 8 0.84827 0 0 0.012076 0 0 0 0.013806
10 25 6 0.045 9 0.84827 0 0 0.012151 0 0 0 0.013803
10 25 6 0.045 10 0.84827 0 0 0.01215 0 0 0 0.013812
10 25 6 0.045 11 0.84827 0 0 0.011119 0 0 0 0.011648
10 25 6 0.045 12 0.84827 0 0 0.011159 0 0 0 0.01165
10 25 6 0.045 13 0.84827 0 0 0.01112 0 0 0 0.011653
10 25 6 0.045 14 0.84827 0 0 0.011139 0 0 0 0.011651
10 25 6 0.045 15 0.84827 0 0 0.012151 0 0 0 0.013812
10 25 6 0.045 17 0.84827 0 0 0.012149 0 0 0 0.013807
10 25 6 0.045 20 0.84827 0 0 0.012149 0 0 0 0.013807
10 25 6 0.045 25 0.84827 0 0 0.012146 0 0 0 0.013813
10 25 7 0.045 1 0.945083 0.294 0.02461 0.62177 17739 0.292 0.023572 0.615
10 25 7 0.045 2 0.94508 0.051 0.0057566 0.069506 1679.5 0.052 0.0047434 0.067695
10 25 7 0.045 3 0.94508 0.003 0.00029394 0.015463 107.56 0.005 0.0004798 0.013786
10 25 7 0.045 4 0.94508 0 0 0.0093882 5.37 0 0 0.0092689
10 25 7 0.045 5 0.94508 0 0 0.0088323 0.2 0 0 0.0090343
10 25 7 0.045 6 0.94508 0 0 0.0087834 0 0 0 0.0090154
10 25 7 0.045 7 0.94508 0 0 0.0088114 0 0 0 0.0090172
10 25 7 0.045 8 0.94508 0 0 0.0087777 0 0 0 0.0090143
10 25 7 0.045 9 0.94508 0 0 0.0086423 0 0 0 0.008888
10 25 7 0.045 10 0.94508 0 0 0.0086436 0 0 0 0.0088902
10 25 7 0.045 11 0.94508 0 0 0.0086453 0 0 0 0.0088931
10 25 7 0.045 12 0.94508 0 0 0.0086379 0 0 0 0.0088893
10 25 7 0.045 13 0.94508 0 0 0.0086462 0 0 0 0.0088911
10 25 7 0.045 14 0.94508 0 0 0.008674 0 0 0 0.0097601
10 25 7 0.045 15 0.94508 0 0 0.0087978 0 0 0 0.0089154
10 25 7 0.045 17 0.94508 0 0 0.0086417 0 0 0 0.0088916
10 25 7 0.045 20 0.94508 0 0 0.0086368 0 0 0 0.0088854
10 25 7 0.045 25 0.94508 0 0 0.008647 0 0 0 0.0088908
10 25 8 0.045 1 1.02028 0.18 0.015152 0.3167 9296.9 0.159 0.014767 0.31638
10 25 8 0.045 2 1.0203 0.017 0.0016273 0.027954 453.07 0.018 0.0014909 0.027057
10 25 8 0.045 3 1.0203 0.001 0.0001 0.011428 15.1 0.002 0.00019798 0.0090343
10 25 8 0.045 4 1.0203 0 0 0.0068258 0.45 0 0 0.0071672
10 25 8 0.045 5 1.0203 0 0 0.0067488 0.02 0 0 0.0071476
10 25 8 0.045 6 1.0203 0 0 0.0067339 0 0 0 0.007142
10 25 8 0.045 7 1.0203 0 0 0.0067185 0 0 0 0.0071351
10 25 8 0.045 8 1.0203 0 0 0.006711 0 0 0 0.007147
10 25 8 0.045 9 1.0203 0 0 0.0067236 0 0 0 0.0071457
10 25 8 0.045 10 1.0203 0 0 0.0067371 0 0 0 0.007144
10 25 8 0.045 11 1.0203 0 0 0.0067223 0 0 0 0.0071496
10 25 8 0.045 12 1.0203 0 0 0.006725 0 0 0 0.0065447
10 25 8 0.045 13 1.0203 0 0 0.0067149 0 0 0 0.0071477
10 25 8 0.045 14 1.0203 0 0 0.0067126 0 0 0 0.0071491
10 25 8 0.045 15 1.0203 0 0 0.0067141 0 0 0 0.0071488
10 25 8 0.045 17 1.0203 0 0 0.0067227 0 0 0 0.0071503
10 25 8 0.045 20 1.0203 0 0 0.0067217 0 0 0 0.0071475
10 25 8 0.045 25 1.0203 0 0 0.0067129 0 0 0 0.0071563
10 50 3 0.045 1 1.2275 1 0 3.7936 99847 1 0 3.7348
10 50 3 0.045 2 1.2275 0.996 0.00038788 3.6978 98827 0.998 0.00019798 3.6958
10 50 3 0.045 3 1.2275 0.985 0.0012879 3.6363 95432 0.992 0.00074343 3.5635
10 50 3 0.045 4 1.2275 0.965 0.0031061 3.2862 87964 0.964 0.0031354 3.3037
10 50 3 0.045 5 1.2275 0.904 0.0076606 2.9805 75815 0.904 0.0096808 2.8567
10 50 3 0.045 6 1.2275 0.814 0.012933 2.3014 60151 0.821 0.014605 2.293
10 50 3 0.045 7 1.2275 0.674 0.020933 1.6986 43566 0.675 0.02351 1.7011
10 50 3 0.045 8 1.2275 0.518 0.023915 1.171 28686 0.532 0.02644 1.1675
10 50 3 0.045 9 1.2275 0.355 0.024924 0.77558 17183 0.364 0.023337 0.76727
10 50 3 0.045 10 1.2275 0.214 0.015762 0.50132 9355.1 0.247 0.012819 0.49633
10 50 3 0.045 11 1.2275 0.12 0.0092929 0.33972 4651.2 0.147 0.012415 0.33409
10 50 3 0.045 12 1.2275 0.059 0.0040596 0.22877 2123 0.083 0.0070818 0.23092
10 50 3 0.045 13 1.2275 0.037 0.0031626 0.16515 883.82 0.043 0.0038899 0.17123
10 50 3 0.045 14 1.2275 0.016 0.0015596 0.13755 339 0.022 0.0025414 0.14704
10 50 3 0.045 15 1.2275 0.005 0.0004798 0.13033 120.47 0.007 0.00065758 0.13951
10 50 3 0.045 17 1.2275 0.001 0.0001 0.12578 12.16 0.001 0.0001 0.13554
10 50 3 0.045 20 1.2275 0 0 0.12459 0.24 0 0 0.13558
10 50 3 0.045 25 1.2275 0 0 0.12492 0 0 0 0.13652
10 50 3 0.045 30 1.2275 0 0 0.12454 0 0 0 0.13516
10 50 3 0.045 35 1.2275 0 0 0.12683 0 0 0 0.13694
10 50 3 0.045 40 1.2275 0 0 0.12752 0 0 0 0.13685
10 50 3 0.045 45 1.2275 0 0 0.1268 0 0 0 0.13686
10 50 3 0.045 50 1.2275 0 0 0.12682 0 0 0 0.13686
10 50 4 0.045 1 1.44359 0.988 0.0012687 3.54 95746 0.989 0.00098889 3.4854
10 50 4 0.045 2 1.4436 0.927 0.0068394 3.0012 82178 0.942 0.0050869 3.0098
