k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 64 250 7.0778 0.063 0.0059909 0.118 0.064 0.0059636 0.11599
10 64 500 7.0778 0.112 0.012986 0.22207 0.109 0.0093121 0.21897
10 128 1 7.0778 0.001 0.0001 0.027994 0 0 0.027681
10 128 2 7.0778 0.001 0.0001 0.028028 0 0 0.028858
10 128 3 7.0778 0.001 0.0001 0.028259 0.001 0.0001 0.028124
10 128 4 7.0778 0.001 0.0001 0.028384 0.002 0.00019798 0.028326
10 128 5 7.0778 0.001 0.0001 0.028557 0.002 0.00019798 0.028521
10 128 8 7.0778 0.002 0.00019798 0.029568 0.003 0.00029394 0.029621
10 128 10 7.0778 0.002 0.00019798 0.030593 0.003 0.00029394 0.030238
10 128 12 7.0778 0.002 0.00019798 0.030872 0.004 0.00038788 0.030967
10 128 20 7.0778 0.006 0.0005697 0.034436 0.008 0.00074343 0.03452
10 128 25 7.0778 0.007 0.00065758 0.036249 0.01 0.00090909 0.036332
10 128 50 7.0778 0.016 0.0017616 0.045709 0.019 0.0015545 0.045755
10 128 75 7.0778 0.022 0.0025414 0.055143 0.025 0.002298 0.055637
10 128 100 7.0778 0.033 0.0036475 0.064912 0.032 0.0030061 0.064812
10 128 250 7.0778 0.063 0.0059909 0.12503 0.064 0.0059636 0.12274
10 128 500 7.0778 0.111 0.01311 0.22913 0.108 0.0094303 0.22584
10 256 1 7.0778 0.001 0.0001 0.0403 0 0 0.039685
10 256 2 7.0778 0.001 0.0001 0.039809 0 0 0.039715
10 256 3 7.0778 0.001 0.0001 0.040025 0.001 0.0001 0.039962
10 256 4 7.0778 0.001 0.0001 0.040222 0.002 0.00019798 0.040195
10 256 5 7.0778 0.001 0.0001 0.040482 0.002 0.00019798 0.040446
10 256 8 7.0778 0.002 0.00019798 0.0416 0.003 0.00029394 0.0415
10 256 10 7.0778 0.002 0.00019798 0.042011 0.003 0.00029394 0.042136
10 256 12 7.0778 0.002 0.00019798 0.043245 0.004 0.00038788 0.042894
