k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 13 0.088 25 1 7.5e-06 5.619 0.1404 0.060328 0.041963 0 0.00081661 0.021143 0.019711 316.95 100000 100 100 0.1352 0.060101 0.041175
10 1 13 0.088 25 1 1e-05 5.619 0.1404 0.060328 0.041987 0 0.00082247 0.021225 0.019656 316.95 100000 100 100 0.1352 0.060101 0.04097
10 1 13 0.088 25 1 1.375e-05 5.619 0.1404 0.060328 0.041195 0 0.00081617 0.020417 0.019686 316.95 100000 100 100 0.1352 0.060101 0.04156
10 1 13 0.088 25 1 1.75e-05 5.619 0.1404 0.060328 0.040788 0 0.00081428 0.020194 0.019503 316.95 100000 100 100 0.1352 0.060101 0.045138
10 1 13 0.088 25 1 2.5e-05 5.619 0.1404 0.060328 0.046773 0 0.0008501 0.021771 0.023875 316.95 100000 100 100 0.1352 0.060101 0.043336
10 1 13 0.088 25 1 3.75e-05 5.619 0.1404 0.060328 0.040687 0 0.00081229 0.019904 0.019693 316.95 100000 100 100 0.1352 0.060101 0.039616
10 1 13 0.088 25 1 5e-05 5.619 0.1404 0.060328 0.042335 0 0.0008203 0.021319 0.01991 316.95 100000 100 100 0.1352 0.060101 0.041105
10 1 13 0.088 25 1 7.5e-05 5.619 0.1404 0.060328 0.042118 0 0.00081422 0.021278 0.019751 316.95 100000 100 100 0.1352 0.060101 0.040951
10 1 13 0.088 25 1 0.0001 5.619 0.1404 0.060328 0.040459 0 0.00079496 0.019797 0.019575 316.95 100000 100 100 0.1352 0.060101 0.03955
10 1 13 0.088 25 1 0.0001375 5.619 0.1404 0.060328 0.042123 0 0.00081859 0.021207 0.019813 316.95 100000 100 100 0.1352 0.060101 0.041138
10 1 13 0.088 25 1 0.000175 5.619 0.1404 0.060328 0.040947 0 0.00079505 0.020276 0.019597 316.95 100000 100 100 0.1352 0.060101 0.040126
10 1 13 0.088 25 1 0.00025 5.619 0.1404 0.060328 0.040925 0 0.00079587 0.020247 0.019612 316.95 100000 100 100 0.1352 0.060101 0.040699
10 1 13 0.088 25 1 0.000375 5.619 0.1404 0.060328 0.040978 0 0.00080904 0.020229 0.019671 316.95 100000 100 100 0.1352 0.060101 0.040084
10 1 13 0.088 25 1 0.0005 5.619 0.1404 0.060328 0.040963 0 0.00081136 0.020251 0.019611 316.95 100000 100 100 0.1352 0.060101 0.040212
10 1 13 0.088 25 1 0.00075 5.619 0.1403 0.060246 0.040757 0 0.0008029 0.020179 0.019505 316.74 100000 100 100 0.1352 0.060101 0.039968
10 1 13 0.088 25 1 0.001 5.619 0.1402 0.060084 0.040769 0 0.00080076 0.02019 0.019496 316.26 100000 100 100 0.1343 0.059453 0.040927
10 1 13 0.088 25 1 0.001375 5.619 0.1375 0.057882 0.040753 0 0.00081777 0.02022 0.01942 309.06 100000 100 100 0.1336 0.05907 0.039905
10 1 13 0.088 25 1 0.00175 5.619 0.1262 0.053807 0.039242 0 0.00081717 0.020698 0.01745 267.6 100000 100 100 0.1198 0.053501 0.037262
10 1 13 0.088 25 1 0.0025 5.619 0.1022 0.043459 0.034209 0 0.0007853 0.02038 0.012772 186.65 100000 100 100 0.0993 0.044314 0.032864
