k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 13 0.088 25 1 0.0025 5.6771 0.1169 0.050054 0.034564 0 0.00081945 0.020193 0.01336 196.35 100000 100 100 0.1108 0.047411 0.035596
10 1 13 0.088 25 1 0.00375 5.6771 0.0734 0.030763 0.02995 0 0.00084362 0.021778 0.0070698 75.313 100000 100 100 0.0703 0.032801 0.028497
10 1 13 0.088 25 1 0.005 5.6771 0.0559 0.024029 0.026601 0 0.00066779 0.021373 0.0043103 41.949 100000 100 100 0.0524 0.023838 0.024578
10 1 13 0.088 25 1 0.0075 5.6771 0.0319 0.014247 0.022351 0 0.00044223 0.020063 0.0015395 9.617 100000 100 100 0.0298 0.014707 0.021597
10 1 13 0.088 25 1 0.01 5.6771 0.0199 0.0080621 0.021384 0 0.0004045 0.019774 0.00093717 5.056 100000 100 100 0.0209 0.010584 0.020594
10 1 16 0.088 25 1 1e-07 18.8935 0.0566 0.025702 0.027625 0 0.0011318 0.019968 0.0063309 44.821 100000 100 100 0.06 0.028849 0.024993
10 1 16 0.088 25 1 1.375e-07 18.894 0.0566 0.025702 0.02628 0 0.00063192 0.020644 0.0047643 44.821 100000 100 100 0.06 0.028849 0.024758
10 1 16 0.088 25 1 1.75e-07 18.894 0.0566 0.025702 0.025664 0 0.00054121 0.020491 0.0044006 44.821 100000 100 100 0.06 0.028849 0.024203
10 1 16 0.088 25 1 2.5e-07 18.894 0.0566 0.025702 0.025772 0 0.00053411 0.020648 0.0043651 44.821 100000 100 100 0.06 0.028849 0.024543
10 1 16 0.088 25 1 3.75e-07 18.894 0.0566 0.025702 0.025336 0 0.0005318 0.020274 0.004302 44.821 100000 100 100 0.06 0.028849 0.02379
10 1 16 0.088 25 1 5e-07 18.894 0.0566 0.025702 0.025557 0 0.00053707 0.020464 0.0043295 44.821 100000 100 100 0.06 0.028849 0.024327
10 1 16 0.088 25 1 7.5e-07 18.894 0.0566 0.025702 0.025787 0 0.00052943 0.020646 0.0043834 44.821 100000 100 100 0.06 0.028849 0.024145
10 1 16 0.088 25 1 1e-06 18.894 0.0566 0.025702 0.025503 0 0.00052818 0.020464 0.0042834 44.821 100000 100 100 0.06 0.028849 0.024468
10 1 16 0.088 25 1 1.375e-06 18.894 0.0566 0.025702 0.025619 0 0.00053549 0.020518 0.0043382 44.821 100000 100 100 0.06 0.028849 0.023967
