k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 400 25 489.482 0.9162 0.018556 24.826 0.9156 0.018936 25.114 0 0 5 1 9 11 26 67 96 185 600 
10 400 50 489.48 0.9162 0.018556 36.526 0.9156 0.018936 32.768 0 0 5 1 9 11 26 67 96 185 600 
10 400 100 489.48 0.9162 0.018556 29.525 0.9156 0.018936 25.759 0 0 5 1 9 11 26 67 96 185 600 
10 400 200 489.48 0.9162 0.018556 25.117 0.9156 0.018936 25.333 0 0 5 1 9 11 26 67 96 185 600 
10 400 400 489.48 0.9162 0.018556 33.285 0.9156 0.018936 26.85 0 0 5 1 9 11 26 67 96 185 600 
10 400 1000 489.48 0.9162 0.018556 26.393 0.9156 0.018936 26.648 0 0 5 1 9 11 26 67 96 185 600 
10 400 2000 489.48 0.9162 0.018556 26.259 0.9156 0.018936 26.428 0 0 5 1 9 11 26 67 96 185 600 
10 400 4000 489.48 0.9162 0.018556 26.293 0.9156 0.018936 26.419 0 0 5 1 9 11 26 67 96 185 600 
10 400 10000 489.48 0.9565 0.008226 35.459 0.9565 0.0085263 35.561 0 0 1 1 0 5 10 24 57 169 733 
10 400 20000 489.48 0.9725 0.0045383 57.914 0.9721 0.0050967 45.493 0 0 0 0 0 1 5 16 39 124 815 
10 400 40000 489.48 0.9843 0.0027463 52.942 0.985 0.0030981 52.605 0 0 0 0 0 1 3 7 22 75 892 
10 400 100000 489.48 0.9926 0.0014066 70.699 0.9923 0.001252 70.359 0 0 0 0 0 0 2 4 12 30 952 
10 400 200000 489.48 0.9964 0.00058763 92.45 0.9956 0.00072136 89.994 0 0 0 0 0 0 0 2 6 18 974 
10 400 400000 489.48 0.9984 0.00023768 114.88 0.9984 0.00017762 113.72 0 0 0 0 0 0 0 1 1 11 987 
