k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 16 100 92.577 0.915 0.012608 9.5648 0.9141 0.014826 9.5906 0 0 1 0 2 7 16 69 135 254 516 
10 16 250 92.577 0.9166 0.012397 14.241 0.9155 0.014724 13.939 0 0 1 0 2 7 15 67 131 256 521 
10 16 500 92.577 0.9166 0.012397 16.369 0.9155 0.014724 16.573 0 0 1 0 2 7 15 67 131 256 521 
10 32 1 92.577 0.186 0.020344 5.8918 0.191 0.018838 5.668 166 285 278 139 81 35 12 1 3 0 0 
10 32 2 92.577 0.2973 0.034057 7.0391 0.2963 0.031828 6.7764 61 165 218 215 144 99 58 22 9 8 1 
10 32 3 92.577 0.378 0.041357 6.8848 0.3777 0.040053 6.8596 31 87 173 193 188 132 89 57 31 15 4 
10 32 4 92.577 0.4422 0.044303 7.1187 0.442 0.0442 7.0385 21 45 115 177 192 152 131 81 50 25 11 
10 32 5 92.577 0.4938 0.046868 6.8861 0.4943 0.045983 6.8498 15 32 73 149 184 162 136 117 75 38 19 
10 32 8 92.577 0.6088 0.046549 6.9755 0.605 0.0453 6.9745 3 15 19 83 138 147 157 149 142 92 55 
10 32 10 92.577 0.6628 0.04398 7.091 0.6597 0.042548 7.0738 1 6 20 49 94 129 164 170 152 126 89 
10 32 12 92.577 0.707 0.039951 7.3135 0.7013 0.039608 7.2763 0 5 11 33 59 113 158 169 172 164 116 
10 32 20 92.577 0.8161 0.027438 7.6077 0.8136 0.028484 7.5808 0 0 6 5 20 46 83 137 200 263 240 
10 32 25 92.577 0.8579 0.021799 7.8397 0.8553 0.022955 7.8462 0 0 1 4 9 33 51 110 175 282 335 
10 32 50 92.577 0.9428 0.0080963 9.0207 0.9394 0.0092369 9.0304 0 0 0 0 0 4 11 26 98 234 627 
10 32 75 92.577 0.9692 0.0040955 10.032 0.9644 0.0048175 9.2151 0 0 0 0 0 0 4 8 50 168 770 
10 32 100 92.577 0.9766 0.0029754 11.43 0.973 0.0034344 11.587 0 0 0 0 0 0 3 3 32 149 813 
10 32 250 92.577 0.9814 0.0023164 18.36 0.9789 0.0027876 18.401 0 0 0 0 0 0 1 2 28 120 849 
10 32 500 92.577 0.9816 0.0023037 27.382 0.9789 0.0027876 27.106 0 0 0 0 0 0 1 2 28 118 851 
10 64 1 92.577 0.1862 0.02035 5.777 0.1909 0.018786 5.7079 166 284 278 140 81 35 12 1 3 0 0 
10 64 2 92.577 0.2971 0.034096 6.6926 0.2966 0.03188 6.8515 61 165 221 211 145 99 58 22 9 8 1 
10 64 3 92.577 0.3782 0.041426 6.2969 0.3777 0.040093 4.9024 30 89 173 192 186 133 90 57 31 15 4 
10 64 4 92.577 0.4423 0.044425 5.0507 0.442 0.04442 4.9504 20 46 120 170 191 156 130 80 51 25 11 
10 64 5 92.577 0.4944 0.046675 5.3894 0.4947 0.046188 5.1335 14 32 75 147 182 162 141 115 75 38 19 
10 64 8 92.577 0.6092 0.046382 5.1953 0.6061 0.045078 6.2081 2 15 20 84 137 142 166 144 142 93 55 
10 64 10 92.577 0.6635 0.043802 5.4096 0.6607 0.042988 5.2815 0 7 20 48 95 125 170 167 151 128 89 
10 64 12 92.577 0.7076 0.040263 5.3348 0.703 0.03935 5.3102 0 5 12 33 59 109 163 163 173 166 117 
10 64 20 92.577 0.8182 0.026936 6.14 0.8169 0.027832 5.6953 0 0 6 5 21 36 89 135 202 264 242 
10 64 25 92.577 0.86 0.021321 6.316 0.8593 0.022176 5.9456 0 0 2 2 13 22 55 108 178 282 338 
10 64 50 92.577 0.9504 0.0070869 6.8604 0.9477 0.0081629 9.1067 0 0 0 0 0 3 8 23 82 216 668 
10 64 75 92.577 0.979 0.0026416 10.589 0.9773 0.0028776 10.596 0 0 0 0 0 0 0 5 34 127 834 
10 64 100 92.577 0.989 0.0013403 10.857 0.9872 0.0015177 9.7064 0 0 0 0 0 0 0 2 12 80 906 
10 64 250 92.577 0.9967 0.00043955 16.57 0.9974 0.00029353 16.442 0 0 0 0 0 0 0 0 6 21 973 
10 64 500 92.577 0.9973 0.00038309 27.301 0.9977 0.00026497 23.079 0 0 0 0 0 0 0 0 6 15 979 
10 128 1 92.577 0.1862 0.02035 4.9319 0.1909 0.018786 5.7253 166 284 278 140 81 35 12 1 3 0 0 
10 128 2 92.577 0.297 0.034145 6.9625 0.2967 0.031891 6.9598 62 164 221 211 145 99 58 22 9 8 1 
10 128 3 92.577 0.3783 0.041461 7.1378 0.3777 0.040093 7.0391 30 89 173 192 186 132 91 57 31 15 4 
10 128 4 92.577 0.4424 0.044467 6.249 0.4421 0.044422 6.0093 20 46 120 170 191 156 129 81 51 25 11 
10 128 5 92.577 0.4943 0.046764 6.0593 0.4949 0.04619 6.0505 14 33 74 147 182 163 139 116 75 38 19 
10 128 8 92.577 0.6092 0.046422 6.1897 0.6063 0.045055 6.1908 2 15 20 84 138 141 165 145 142 93 55 
10 128 10 92.577 0.6636 0.043859 6.2966 0.6608 0.042946 6.284 0 7 20 48 96 124 169 167 152 128 89 
10 128 12 92.577 0.7073 0.040217 6.399 0.7031 0.0394 6.3918 0 5 12 33 60 108 163 162 176 165 116 
10 128 20 92.577 0.818 0.027083 6.7738 0.8172 0.027812 6.7766 0 0 6 5 22 35 88 140 198 262 244 
10 128 25 92.577 0.8605 0.021311 6.9939 0.8596 0.02215 6.9939 0 0 2 1 14 23 53 110 175 281 341 
10 128 50 92.577 0.951 0.006966 7.9647 0.948 0.0083844 7.9516 0 0 0 0 0 2 9 23 80 215 671 
