k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 30 14 0.0323 10 1 2.5e-05 31.262 0.5785 0.066234 0.81956 0 0.017306 0.040586 0.76126 1665.2 100000 100 0.5595 0.064314 0.81932 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 3.75e-05 31.262 0.5785 0.066234 0.81879 0 0.018514 0.040347 0.75952 1665.2 100000 100 0.5595 0.064314 0.81938 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 5e-05 31.262 0.5785 0.066234 0.88183 0 0.018181 0.053162 0.81007 1665.2 100000 100 0.5595 0.064314 0.82776 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 7.5e-05 31.262 0.5785 0.066234 0.8184 0 0.016909 0.045239 0.75581 1665.2 100000 100 0.5595 0.064314 0.81029 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 0.0001 31.262 0.5785 0.066234 0.81205 0 0.015951 0.0405 0.75517 1665.2 100000 100 0.5595 0.064314 0.81191 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 0.0001375 31.262 0.5785 0.066234 0.81188 0 0.015992 0.040686 0.75478 1664.5 100000 100 0.5595 0.064314 0.81074 10 34 57 105 143 127 130 101 111 80 102 
10 30 14 0.0323 10 1 0.000175 31.262 0.5781 0.066096 0.80911 0 0.017863 0.040147 0.75066 1662 100000 100 0.5591 0.064281 0.82538 10 34 57 105 143 127 132 100 110 81 101 
10 30 14 0.0323 10 1 0.00025 31.262 0.5732 0.065727 0.79946 0 0.015971 0.049605 0.73349 1619 100000 100 0.5527 0.064017 0.79531 11 34 57 109 140 136 130 103 104 76 100 
10 30 14 0.0323 10 1 0.000375 31.262 0.5127 0.069298 0.60178 0 0.015682 0.039349 0.54634 1212.5 100000 100 0.4939 0.066599 0.60633 23 44 89 158 151 117 114 90 80 52 82 
10 30 14 0.0323 10 1 0.0005 31.262 0.4509 0.074414 0.40275 0 0.01533 0.037998 0.34904 781.39 100000 100 0.4307 0.069817 0.40346 39 86 138 165 125 113 106 58 52 51 67 
10 30 14 0.0323 10 1 0.00075 31.262 0.3603 0.078593 0.18521 0 0.01404 0.036135 0.13471 316.06 100000 100 0.339 0.07087 0.18287 100 152 185 149 97 100 53 34 32 46 52 
10 30 14 0.0323 10 1 0.001 31.262 0.2929 0.075775 0.11085 0 0.013427 0.034318 0.06278 151.3 100000 100 0.2744 0.067132 0.11021 175 206 190 116 77 74 32 29 28 32 41 
10 30 14 0.0323 10 1 0.001375 31.262 0.2206 0.069906 0.069776 0 0.010996 0.03279 0.025683 60.856 100000 100 0.2097 0.060657 0.069025 315 225 157 87 62 31 25 19 23 24 32 
10 30 14 0.0323 10 1 0.00175 31.262 0.1755 0.061651 0.055457 0 0.0096263 0.03194 0.013549 30.445 100000 100 0.1604 0.053325 0.054512 416 226 125 82 31 18 28 14 14 19 27 
10 30 14 0.0323 10 1 0.0025 31.262 0.1216 0.050184 0.046363 0 0.0088083 0.031206 0.0060255 11.354 100000 100 0.1075 0.042276 0.044881 578 190 90 39 16 13 12 15 18 11 18 
10 30 14 0.0323 10 1 0.00375 31.262 0.0748 0.036421 0.041917 0 0.0087148 0.030444 0.0024072 3.651 100000 100 0.0632 0.028474 0.040784 752 124 34 14 15 12 9 13 5 11 11 
10 30 14 0.0323 10 1 0.005 31.262 0.0546 0.028187 0.040136 0 0.0085485 0.029986 0.001303 1.784 100000 100 0.0404 0.019828 0.039257 824 85 22 16 8 9 7 7 5 9 8 
10 30 14 0.0323 10 1 0.0075 31.262 0.0335 0.019487 0.03942 0 0.0084146 0.030159 0.00057917 0.69 100000 100 0.0215 0.013021 0.038502 903 41 18 5 1 5 7 5 5 3 7 
10 30 14 0.0323 10 1 0.01 31.262 0.0234 0.014827 0.038064 0 0.0084131 0.029107 0.00036083 0.374 100000 100 0.0145 0.0095893 0.03772 945 18 3 6 4 7 3 4 2 1 7 
10 30 16 0.0323 10 1 1e-07 77.9473 0.3329 0.069397 0.43597 0 0.030547 0.071783 0.33338 480.59 100000 100 0.3216 0.064418 0.30491 98 187 195 138 96 95 60 37 21 38 35 
10 30 16 0.0323 10 1 1.375e-07 77.947 0.3329 0.069397 0.28212 0 0.025365 0.034074 0.22224 480.59 100000 100 0.3216 0.064418 0.28199 98 187 195 138 96 95 60 37 21 38 35 
10 30 16 0.0323 10 1 1.75e-07 77.947 0.3329 0.069397 0.27624 0 0.025158 0.032646 0.21807 480.59 100000 100 0.3216 0.064418 0.27753 98 187 195 138 96 95 60 37 21 38 35 
10 30 16 0.0323 10 1 2.5e-07 77.947 0.3329 0.069397 0.27606 0 0.025105 0.032819 0.21776 480.59 100000 100 0.3216 0.064418 0.27734 98 187 195 138 96 95 60 37 21 38 35 
10 30 16 0.0323 10 1 3.75e-07 77.947 0.3329 0.069397 0.27623 0 0.02515 0.032696 0.21801 480.59 100000 100 0.3216 0.064418 0.27699 98 187 195 138 96 95 60 37 21 38 35 
