k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 50 400000 16.349 0.9968 0.00041017 37.9 0.9981 0.00024664 37.395 0 0 0 0 0 0 0 0 5 22 973 
10 100 25 33.6963 0.3895 0.068108 0.48006 0.3814 0.066621 0.4714 68 122 166 148 135 97 92 65 35 35 37 
10 100 50 33.696 0.3895 0.068108 0.49269 0.3814 0.066621 0.50057 68 122 166 148 135 97 92 65 35 35 37 
10 100 100 33.696 0.3895 0.068108 0.46697 0.3814 0.066621 0.51794 68 122 166 148 135 97 92 65 35 35 37 
10 100 200 33.696 0.3895 0.068108 0.46593 0.3814 0.066621 0.47202 68 122 166 148 135 97 92 65 35 35 37 
10 100 400 33.696 0.3898 0.068264 0.47178 0.3828 0.067031 0.46929 68 122 166 148 135 96 92 65 36 35 37 
10 100 1000 33.696 0.5157 0.069013 0.79876 0.5101 0.068597 0.76284 17 60 104 119 130 139 116 101 78 70 66 
10 100 2000 33.696 0.5923 0.062834 1.1094 0.5968 0.061952 1.061 9 21 70 92 112 135 140 127 107 92 95 
10 100 4000 33.696 0.692 0.052849 1.626 0.6998 0.052052 1.6475 2 8 29 42 92 96 144 137 156 131 163 
10 100 10000 33.696 0.8131 0.034873 2.8939 0.8175 0.034438 2.8754 0 1 7 11 29 56 89 135 157 198 317 
10 100 20000 33.696 0.8793 0.023025 4.4697 0.884 0.021546 4.5116 0 0 2 2 15 21 52 96 142 202 468 
10 100 40000 33.696 0.9315 0.01261 6.9794 0.9356 0.010944 7.0359 0 0 0 1 3 9 21 51 87 204 624 
10 100 100000 33.696 0.9716 0.0046381 12.961 0.9785 0.0037915 13.018 0 0 0 0 0 1 5 15 45 124 810 
10 100 200000 33.696 0.9894 0.0015692 21.21 0.992 0.001037 21.248 0 0 0 0 0 0 0 4 19 56 921 
10 100 400000 33.696 0.9964 0.00050755 35.301 0.9966 0.00048893 35.236 0 0 0 0 0 0 0 0 8 20 972 
10 200 25 62.9312 0.3962 0.070696 0.55377 0.4019 0.067434 0.53655 61 141 149 145 128 105 84 60 49 45 33 
10 200 50 62.931 0.3962 0.070696 0.54194 0.4019 0.067434 0.53401 61 141 149 145 128 105 84 60 49 45 33 
10 200 100 62.931 0.3962 0.070696 0.52712 0.4019 0.067434 0.52089 61 141 149 145 128 105 84 60 49 45 33 
10 200 200 62.931 0.3962 0.070696 0.5322 0.4019 0.067434 0.53178 61 141 149 145 128 105 84 60 49 45 33 
10 200 400 62.931 0.3965 0.070849 0.52465 0.4024 0.067782 0.52409 61 141 149 145 128 104 84 60 50 45 33 
10 200 1000 62.931 0.5232 0.071593 0.7952 0.5273 0.06527 0.79375 11 75 96 125 112 125 118 107 92 66 73 
10 200 2000 62.931 0.6032 0.063293 1.0482 0.6129 0.059183 1.0827 2 29 60 104 107 115 126 140 121 96 100 
10 200 4000 62.931 0.6975 0.054158 1.5228 0.7082 0.048942 1.5624 0 11 26 59 70 103 124 147 140 153 167 
10 200 10000 62.931 0.8074 0.036342 2.6081 0.8172 0.033618 2.6033 0 0 8 13 41 53 80 143 156 199 307 
10 200 20000 62.931 0.8675 0.025579 3.9313 0.8834 0.021025 4.0577 0 0 0 7 25 23 50 98 147 223 427 
10 200 40000 62.931 0.9197 0.015217 5.9733 0.9272 0.013273 6.0512 0 0 0 0 8 18 20 50 111 213 580 
10 200 100000 62.931 0.9635 0.0064842 10.914 0.968 0.0055015 11.204 0 0 0 0 1 4 5 21 60 136 773 
10 200 200000 62.931 0.9829 0.0026402 17.923 0.9865 0.0023301 18.06 0 0 0 0 0 0 2 5 34 80 879 
10 200 400000 62.931 0.9926 0.0010263 30.683 0.9952 0.00067764 30.375 0 0 0 0 0 0 0 1 14 43 942 
10 400 25 139.258 0.4159 0.070648 0.85499 0.4137 0.06775 0.81476 56 115 140 150 142 97 95 74 45 47 39 
10 400 50 139.26 0.4159 0.070648 0.80985 0.4137 0.06775 0.80948 56 115 140 150 142 97 95 74 45 47 39 
10 400 100 139.26 0.4159 0.070648 0.80868 0.4137 0.06775 0.80496 56 115 140 150 142 97 95 74 45 47 39 
10 400 200 139.26 0.4159 0.070648 0.80518 0.4137 0.06775 0.80161 56 115 140 150 142 97 95 74 45 47 39 
10 400 400 139.26 0.4163 0.070735 0.80837 0.4137 0.06775 0.80427 56 114 141 150 142 96 95 74 46 47 39 
10 400 1000 139.26 0.5367 0.070293 1.1381 0.5384 0.065431 1.1619 14 58 94 119 101 139 131 95 102 72 75 
10 400 2000 139.26 0.6108 0.065249 1.4389 0.6188 0.058745 1.4374 5 24 69 92 100 108 146 119 121 107 109 
10 400 4000 139.26 0.7007 0.054864 2.0414 0.7139 0.048906 2.0239 2 6 27 57 82 94 122 140 142 150 178 
10 400 10000 139.26 0.8099 0.036629 3.1975 0.8153 0.03435 3.1927 0 1 5 16 30 67 85 133 145 196 322 
10 400 20000 139.26 0.8675 0.02626 4.6473 0.8793 0.022864 4.7449 0 0 1 6 16 36 58 95 140 202 446 
10 400 40000 139.26 0.9118 0.017018 6.813 0.9259 0.014414 6.9 0 0 0 2 8 19 24 65 107 220 555 
10 400 100000 139.26 0.9562 0.0080696 11.771 0.9623 0.0069557 11.84 0 0 0 0 3 3 9 29 64 154 738 
10 400 200000 139.26 0.9764 0.003927 18.56 0.9795 0.0035733 18.786 0 0 0 0 0 2 3 8 44 102 841 
10 400 400000 139.26 0.9883 0.001915 30.61 0.9916 0.0013108 30.853 0 0 0 0 0 1 2 2 16 66 913 
