k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 16 12 13.031 0.4858 0.055314 0.44992 0.4942 0.054501 0.45158 20 53 93 126 178 153 128 104 74 34 37 
10 16 20 13.031 0.5778 0.059186 0.52868 0.5798 0.055107 0.50478 13 27 53 87 144 139 142 123 119 82 71 
10 16 25 13.031 0.6152 0.058568 0.53308 0.6128 0.054591 0.53099 9 22 41 84 111 118 147 150 119 112 87 
10 16 50 13.031 0.6933 0.054119 0.69037 0.6952 0.050668 0.69107 5 11 21 46 84 109 130 144 136 155 159 
10 16 75 13.031 0.7176 0.051662 0.84181 0.7226 0.047797 0.8387 3 6 23 37 69 103 125 143 140 159 192 
10 16 100 13.031 0.7271 0.050606 0.9887 0.7311 0.04679 0.98582 3 6 18 39 66 91 123 143 146 164 201 
10 16 250 13.031 0.7337 0.050004 1.5475 0.7376 0.046052 1.5617 3 5 15 41 65 81 127 142 143 166 212 
10 16 500 13.031 0.7337 0.050004 1.7956 0.7376 0.046052 1.765 3 5 15 41 65 81 127 142 143 166 212 
10 32 1 13.031 0.1368 0.017844 0.41422 0.1281 0.015556 0.41356 300 329 185 118 41 17 6 2 2 0 0 
10 32 2 13.031 0.2062 0.029511 0.40102 0.1986 0.025504 0.40179 179 272 208 153 99 48 18 17 3 2 1 
10 32 3 13.031 0.2599 0.0381 0.40636 0.2529 0.033585 0.40536 127 208 205 182 109 85 44 22 10 4 4 
10 32 4 13.031 0.3013 0.04199 0.41381 0.3008 0.038077 0.41509 89 163 201 190 137 101 58 30 19 5 7 
10 32 5 13.031 0.3382 0.046047 0.42033 0.3389 0.04304 0.43599 70 135 175 177 166 122 67 41 28 11 8 
10 32 8 13.031 0.4221 0.052334 0.46754 0.4272 0.051492 0.45243 35 80 131 157 173 143 118 78 36 31 18 
10 32 10 13.031 0.4637 0.053566 0.46983 0.4732 0.052434 0.45454 22 61 109 137 168 170 113 102 56 35 27 
10 32 12 13.031 0.5025 0.053778 0.48525 0.5097 0.052548 0.48954 15 47 79 124 166 172 127 113 80 39 38 
10 32 20 13.031 0.6059 0.056271 0.53719 0.6063 0.05018 0.54843 8 19 46 80 116 152 126 150 128 96 79 
10 32 25 13.031 0.6523 0.053548 0.57003 0.6494 0.048008 0.5829 5 13 31 65 91 121 140 167 139 117 111 
10 32 50 13.031 0.7624 0.042649 0.7176 0.7635 0.038636 0.7155 2 4 9 19 63 69 99 163 162 183 227 
10 32 75 13.031 0.8093 0.03652 0.87184 0.8122 0.032323 0.87206 0 5 3 11 35 62 87 122 161 205 309 
10 32 100 13.031 0.8317 0.031997 1.0419 0.8362 0.028758 1.0284 0 2 3 8 29 48 71 115 163 216 345 
10 32 250 13.031 0.8594 0.027059 1.9522 0.865 0.023478 1.9508 0 2 1 4 19 40 55 94 156 224 405 
10 32 500 13.031 0.8607 0.026752 2.8297 0.8659 0.02321 2.8544 0 2 1 4 17 42 52 96 151 229 406 
10 64 1 13.031 0.1373 0.017837 0.4511 0.128 0.015592 0.45793 298 329 186 119 41 17 6 2 2 0 0 
10 64 2 13.031 0.2064 0.029489 0.43483 0.1987 0.025534 0.43899 180 269 208 155 100 47 18 17 3 2 1 
10 64 3 13.031 0.2611 0.037975 0.48907 0.2533 0.033703 0.49255 126 204 206 184 111 85 44 22 10 4 4 
10 64 4 13.031 0.3026 0.041775 0.44993 0.3012 0.038017 0.44744 90 155 205 188 142 101 59 29 19 5 7 
10 64 5 13.031 0.3399 0.045844 0.49443 0.3401 0.042825 0.49081 68 132 177 176 168 124 67 41 27 12 8 
10 64 8 13.031 0.4245 0.051501 0.47853 0.4291 0.051134 0.47712 32 77 128 162 177 141 121 77 35 32 18 
10 64 10 13.031 0.4675 0.052746 0.48866 0.4759 0.051741 0.48736 21 54 107 142 167 173 114 103 55 37 27 
10 64 12 13.031 0.5075 0.052686 0.50046 0.5126 0.052013 0.49978 13 41 77 126 166 175 130 111 81 42 38 
10 64 20 13.031 0.6152 0.054503 0.55574 0.6137 0.048891 0.55402 6 17 42 71 116 153 138 141 132 102 82 
10 64 25 13.031 0.6627 0.05173 0.58831 0.659 0.046005 0.58527 4 11 26 56 92 126 140 162 140 126 117 
10 64 50 13.031 0.7869 0.037776 0.75134 0.7846 0.034197 0.7522 1 0 8 13 47 64 99 147 170 187 264 
10 64 75 13.031 0.8464 0.027695 0.91532 0.8455 0.025745 0.91389 0 1 2 3 19 39 74 126 143 221 372 
10 64 100 13.031 0.8795 0.021131 1.1632 0.8799 0.019706 1.1698 0 0 1 0 12 22 53 99 136 234 443 
10 64 250 13.031 0.9385 0.0097375 2.0371 0.9408 0.0092646 2.0861 0 0 0 0 1 5 15 38 99 212 630 
10 64 500 13.031 0.9466 0.0084369 3.617 0.9502 0.0075075 3.662 0 0 0 0 1 4 9 32 92 192 670 
10 128 1 13.031 0.1374 0.017859 0.50429 0.128 0.015592 0.50774 298 329 185 120 41 17 6 2 2 0 0 
10 128 2 13.031 0.2066 0.029526 0.512 0.1987 0.025534 0.50143 180 268 209 155 99 48 18 17 3 2 1 
10 128 3 13.031 0.2613 0.03801 0.50316 0.2532 0.033683 0.50454 126 203 207 184 111 84 45 22 10 4 4 
10 128 4 13.031 0.3028 0.041834 0.50906 0.3011 0.038027 0.51078 90 155 204 189 142 101 58 30 19 5 7 
10 128 5 13.031 0.3397 0.046 0.51695 0.34 0.042843 0.51748 69 132 176 177 167 124 66 42 27 12 8 
10 128 8 13.031 0.4248 0.051436 0.53817 0.4292 0.051078 0.53995 32 77 126 164 176 142 121 77 35 32 18 
10 128 10 13.031 0.4676 0.052823 0.5541 0.4762 0.051765 0.55618 21 54 108 140 168 173 114 102 56 37 27 
10 128 12 13.031 0.5079 0.05262 0.56555 0.513 0.051943 0.56633 13 40 78 125 166 176 130 110 82 42 38 
