	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
994	10	250	6	0.0323	1	0.697782	0.9999	1e-05	45.617	0.06499	0.015763	2.0396	43.495	88280.0	1.0	0.0	45.924	0	0	0	0	0	0	0	0	0	1	999
1012	10	250	7	0.0323	1	0.722231	0.9997	2.994e-05	35.995	0.075947	0.024985	1.3498	34.543	71248.0	0.9996	3.988e-05	35.454	0	0	0	0	0	0	0	0	0	3	997
1030	10	250	8	0.0323	1	0.76943	0.9966	0.00034879	25.836	0.082814	0.042774	0.88412	24.825	50080.0	0.9966	0.00036881	25.328	0	0	0	0	0	0	0	0	1	32	967
1048	10	250	9	0.0323	1	0.861785	0.9747	0.0033933	16.415	0.094035	0.061024	0.60152	15.658	31971.0	0.973	0.0032743	15.97	0	0	0	0	0	0	1	12	33	147	807
1066	10	250	10	0.0323	1	0.791406	0.9163	0.013238	9.9181	0.095202	0.08269	0.3931	9.3461	18650.0	0.9179	0.012222	9.5416	0	0	0	1	2	9	20	68	128	233	539
1084	10	250	11	0.0323	1	0.916487	0.8139	0.032669	5.6463	0.10549	0.10584	0.26807	5.1662	10287.0	0.8055	0.033373	5.3139	0	2	8	6	26	41	100	148	167	198	304
1102	10	250	12	0.0323	1	0.924699	0.6813	0.053113	3.1929	0.095622	0.099427	0.18518	2.8122	5463.8	0.6682	0.056746	3.1006	2	11	22	45	92	128	144	147	126	116	167
1120	10	300	6	0.0323	1	0.816635	0.9999	1e-05	46.657	0.074555	0.019049	2.3171	44.245	90262.0	0.9999	1e-05	46.024	0	0	0	0	0	0	0	0	0	1	999
1138	10	300	7	0.0323	1	0.797859	0.9998	1.998e-05	38.225	0.088678	0.027208	1.5226	36.585	75649.0	0.9997	2.994e-05	37.888	0	0	0	0	0	0	0	0	0	2	998
1156	10	300	8	0.0323	1	0.850065	0.9984	0.0001576	28.391	0.096151	0.050694	1.0218	27.221	55116.0	0.998	0.00023624	27.928	0	0	0	0	0	0	0	0	0	16	984
1174	10	300	9	0.0323	1	0.986814	0.9837	0.0018462	18.399	0.10526	0.080552	0.6927	17.519	36054.0	0.9833	0.0022734	20.629	0	0	0	0	0	0	0	0	24	115	861
1192	10	300	10	0.0323	1	0.982237	0.9438	0.0085501	11.382	0.11391	0.10142	0.46948	10.696	21455.0	0.9374	0.0092705	11.046	0	0	0	0	1	3	11	33	94	210	648
1210	10	300	11	0.0323	1	0.937722	0.8526	0.025138	6.5639	0.12716	0.12401	0.3395	5.9723	11981.0	0.852	0.026683	6.2968	0	0	0	6	11	35	74	122	154	221	377
1228	10	300	12	0.0323	1	1.04049	0.7301	0.04583	3.7928	0.1192	0.12547	0.24037	3.3073	6441.9	0.7219	0.04926	3.5946	0	3	14	39	50	102	150	151	140	144	207
1246	10	350	6	0.0323	1	0.875479	1.0	0.0	47.263	0.08628	0.022929	2.6557	44.497	92192.0	0.9998	1.998e-05	46.677	0	0	0	0	0	0	0	0	0	0	1000
1264	10	350	7	0.0323	1	0.953731	0.9999	1e-05	39.922	0.10379	0.031373	1.6889	38.096	78744.0	0.9998	1.998e-05	39.402	0	0	0	0	0	0	0	0	0	1	999
1282	10	350	8	0.0323	1	0.911913	0.9996	3.988e-05	30.546	0.10831	0.059997	1.1617	29.215	59100.0	0.9992	7.9439e-05	30.059	0	0	0	0	0	0	0	0	0	4	996
1300	10	350	9	0.0323	1	1.10891	0.9902	0.0013453	20.488	0.12334	0.087441	0.81642	19.46	39740.0	0.9911	0.00099178	19.943	0	0	0	0	0	0	1	2	11	66	920
1318	10	350	10	0.0323	1	1.06145	0.9593	0.0060796	12.766	0.12825	0.11319	0.54315	11.978	24005.0	0.9596	0.0059338	12.326	0	0	0	0	0	3	4	23	60	187	723
1336	10	350	11	0.0323	1	1.23337	0.88	0.01994	7.5742	0.1475	0.14622	0.40102	6.8786	13640.0	0.8822	0.019603	7.0941	0	0	1	0	7	27	50	85	158	244	428
1354	10	350	12	0.0323	1	1.20374	0.7752	0.041987	4.4629	0.14078	0.14534	0.28024	3.896	7386.4	0.7641	0.042744	4.0863	0	2	9	26	41	75	112	150	143	171	271
1372	10	400	6	0.0323	1	0.856444	1.0	0.0	48.397	0.098164	0.025982	2.9544	45.318	93566.0	0.9999	1e-05	47.98	0	0	0	0	0	0	0	0	0	0	1000
1390	10	400	7	0.0323	1	1.1439	1.0	0.0	41.49	0.11259	0.03553	1.9011	39.44	81416.0	1.0	0.0	40.877	0	0	0	0	0	0	0	0	0	0	1000
1408	10	400	8	0.0323	1	1.1967	0.9991	8.9279e-05	32.471	0.12633	0.072119	1.2833	30.988	62573.0	0.9994	5.97e-05	31.783	0	0	0	0	0	0	0	0	0	9	991
1426	10	400	9	0.0323	1	1.10888	0.994	0.00066466	22.162	0.14271	0.10193	0.90137	21.015	42934.0	0.9938	0.0007423	21.579	0	0	0	0	0	0	0	0	5	50	945
1444	10	400	10	0.0323	1	1.37298	0.9706	0.0039996	14.377	0.14971	0.12739	0.62545	13.473	26475.0	0.9687	0.0042345	13.642	0	0	0	0	0	0	2	9	57	145	787
1462	10	400	11	0.0323	1	1.36494	0.9092	0.015791	8.3822	0.16391	0.16957	0.45015	7.5975	15157.0	0.9112	0.01495	7.8782	0	0	1	1	3	11	34	68	135	210	537
1480	10	400	12	0.0323	1	1.39285	0.7987	0.038166	5.1632	0.16232	0.18675	0.33839	4.4752	8301.7	0.8043	0.034106	4.6077	0	0	7	17	45	55	99	134	152	191	300
1498	10	500	6	0.0323	1	1.54198	1.0	0.0	50.16	0.1165	0.033658	3.6293	46.379	95162.0	0.9998	1.998e-05	49.288	0	0	0	0	0	0	0	0	0	0	1000
1516	10	500	7	0.0323	1	1.55401	0.9999	1e-05	46.407	0.14837	0.046007	2.2732	43.938	85000.0	0.9998	1.998e-05	44.25	0	0	0	0	0	0	0	0	0	1	999
1534	10	500	8	0.0323	1	2.10381	0.9999	1e-05	35.44	0.15483	0.089315	1.5576	33.637	68251.0	1.0	0.0	34.312	0	0	0	0	0	0	0	0	0	1	999
1552	10	500	9	0.0323	1	2.61138	0.9983	0.0001873	25.854	0.16688	0.13148	1.1095	24.444	48418.0	0.9978	0.00029546	24.828	0	0	0	0	0	0	0	0	1	15	984
1570	10	500	10	0.0323	1	1.56986	0.9839	0.0021329	16.382	0.18605	0.16422	0.76717	15.263	30841.0	0.9842	0.0018522	15.741	0	0	0	0	0	0	0	6	21	101	872
1588	10	500	11	0.0323	1	5.05582	0.9396	0.0095614	10.453	0.20029	0.22632	0.5486	9.4764	18104.0	0.9404	0.0089768	9.5417	0	0	0	0	1	4	14	42	93	210	636
1606	10	500	12	0.0323	1	2.60589	0.8544	0.025987	6.1346	0.20707	0.2427	0.4293	5.2547	10055.0	0.8501	0.024204	5.6328	0	0	1	5	15	36	66	125	141	222	389
