k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 13 0.036 10 1 0.00025 9.0343 0.7765 0.0626 0.11016 0 0.0028872 0.013258 0.093713 249.81 58000 100 100 0.7895 0.058158 0.10919 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 0.000375 9.0343 0.7765 0.0626 0.10988 0 0.0029577 0.013103 0.093534 249.81 58000 100 100 0.7895 0.058158 0.10913 8 16 27 34 53 46 74 92 126 185 339 
10 5 13 0.036 10 1 0.0005 9.0343 0.7764 0.062566 0.11381 0 0.0029795 0.014174 0.096327 249.47 58000 100 100 0.7892 0.058101 0.11238 8 16 27 34 53 46 74 92 126 186 338 
10 5 13 0.036 10 1 0.00075 9.0343 0.7741 0.062201 0.11052 0 0.0029048 0.013821 0.093493 244.96 58000 100 100 0.7866 0.058419 0.10887 8 16 27 34 53 46 76 96 124 193 327 
10 5 13 0.036 10 1 0.001 9.0343 0.7686 0.062477 0.10558 0 0.0028516 0.013246 0.089201 237.11 58000 100 100 0.7802 0.059047 0.10448 8 16 28 35 53 48 82 97 128 188 317 
10 5 13 0.036 10 1 0.001375 9.0343 0.7518 0.063921 0.097418 0 0.0027948 0.013178 0.081162 214.42 58000 100 100 0.7632 0.060987 0.095594 9 16 30 38 61 56 78 111 137 177 287 
10 5 13 0.036 10 1 0.00175 9.0343 0.728 0.067203 0.088085 0 0.0027829 0.013262 0.071755 188.53 58000 100 100 0.7413 0.064209 0.08582 11 19 32 47 67 63 85 119 132 176 249 
10 5 13 0.036 10 1 0.0025 9.0343 0.6826 0.075853 0.072431 0 0.0026533 0.012958 0.056535 146.35 58000 100 100 0.7013 0.070259 0.071813 23 25 43 55 70 83 97 118 129 155 202 
10 5 13 0.036 10 1 0.00375 9.0343 0.6062 0.085267 0.050851 0 0.0024166 0.012648 0.035516 87.935 58000 100 100 0.615 0.080235 0.04996 38 53 62 71 78 93 100 124 127 129 125 
10 5 13 0.036 10 1 0.005 9.0343 0.5469 0.087017 0.041343 0 0.0022706 0.012362 0.026436 63.195 58000 100 100 0.5563 0.083604 0.040818 52 80 66 77 104 99 109 116 109 103 85 
10 5 13 0.036 10 1 0.0075 9.0343 0.4265 0.088897 0.027218 0 0.0020217 0.012181 0.012722 28.347 58000 100 100 0.434 0.083608 0.026886 123 104 104 121 105 86 86 83 86 65 37 
10 5 13 0.036 10 1 0.01 9.0343 0.3444 0.08137 0.02257 0 0.0019465 0.011816 0.0084707 17.793 58000 100 100 0.3448 0.075108 0.022382 185 126 151 115 88 75 75 64 61 42 18 
10 5 14 0.036 10 1 1e-07 11.3512 0.6786 0.083506 0.08133 0 0.0046037 0.017281 0.059246 140.46 58000 100 100 0.6808 0.075167 0.077886 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1.375e-07 11.351 0.6786 0.083506 0.072992 0 0.0030587 0.012323 0.057286 140.46 58000 100 100 0.6808 0.075167 0.073252 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 1.75e-07 11.351 0.6786 0.083506 0.073001 0 0.0030551 0.012264 0.057391 140.46 58000 100 100 0.6808 0.075167 0.073364 31 37 39 54 70 81 80 107 115 185 201 
10 5 14 0.036 10 1 2.5e-07 11.351 0.6786 0.083506 0.07299 0 0.0030165 0.012413 0.057262 140.46 58000 100 100 0.6808 0.075167 0.073274 31 37 39 54 70 81 80 107 115 185 201 
