k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1024 8 6.8663 0.005 0.00068182 0.087496 0.005 0.0004798 0.086489
10 1024 10 6.8663 0.008 0.0011475 0.087387 0.005 0.0004798 0.08753
10 1024 12 6.8663 0.009 0.0012313 0.088064 0.006 0.0005697 0.087859
10 1024 20 6.8663 0.014 0.0016202 0.091352 0.007 0.00065758 0.091088
10 1024 25 6.8663 0.015 0.0016919 0.093146 0.011 0.00098889 0.092767
10 1024 50 6.8663 0.019 0.0021606 0.10343 0.019 0.0017566 0.10261
10 1024 75 6.8663 0.021 0.0022818 0.11367 0.025 0.002096 0.11229
10 1024 100 6.8663 0.024 0.0026505 0.12311 0.026 0.0023475 0.12228
10 1024 250 6.8663 0.048 0.0039354 0.18472 0.052 0.0051475 0.184
10 1024 500 6.8663 0.08 0.0060606 0.29424 0.094 0.0084485 0.29449
10 2048 1 6.8663 0.003 0.00049596 0.096078 0.002 0.00019798 0.096574
10 2048 2 6.8663 0.004 0.0005899 0.097537 0.002 0.00019798 0.096774
10 2048 3 6.8663 0.004 0.0005899 0.096616 0.002 0.00019798 0.096595
10 2048 4 6.8663 0.004 0.0005899 0.097215 0.003 0.00029394 0.096984
10 2048 5 6.8663 0.004 0.0005899 0.097461 0.003 0.00029394 0.097881
10 2048 8 6.8663 0.005 0.00068182 0.09896 0.005 0.0004798 0.09905
10 2048 10 6.8663 0.008 0.0011475 0.10105 0.005 0.0004798 0.099685
10 2048 12 6.8663 0.009 0.0012313 0.10046 0.006 0.0005697 0.099954
10 2048 20 6.8663 0.014 0.0016202 0.10321 0.007 0.00065758 0.1031
10 2048 25 6.8663 0.015 0.0016919 0.10512 0.011 0.00098889 0.10484
10 2048 50 6.8663 0.019 0.0021606 0.11528 0.019 0.0017566 0.11469
10 2048 75 6.8663 0.021 0.0022818 0.12523 0.025 0.002096 0.12448
10 2048 100 6.8663 0.024 0.0026505 0.13465 0.026 0.0023475 0.13552
10 2048 250 6.8663 0.048 0.0039354 0.19679 0.052 0.0051475 0.19624
10 2048 500 6.8663 0.08 0.0060606 0.30581 0.094 0.0084485 0.30572
10 4096 1 6.8663 0.003 0.00049596 0.1046 0.002 0.00019798 0.10397
10 4096 2 6.8663 0.004 0.0005899 0.10495 0.002 0.00019798 0.10433
10 4096 3 6.8663 0.004 0.0005899 0.10485 0.002 0.00019798 0.10486
10 4096 4 6.8663 0.004 0.0005899 0.1053 0.003 0.00029394 0.10492
10 4096 5 6.8663 0.004 0.0005899 0.10544 0.003 0.00029394 0.10516
10 4096 8 6.8663 0.005 0.00068182 0.10672 0.005 0.0004798 0.1065
10 4096 10 6.8663 0.008 0.0011475 0.10753 0.005 0.0004798 0.10728
