k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 25 8 0.036 1 0.0761083 0.969 0.0056647 0.1058 485.98 0.968 0.0065626 0.10382
10 25 8 0.036 2 0.076108 0.8964 0.030217 0.047662 132.58 0.8987 0.028797 0.045984
10 25 8 0.036 3 0.076108 0.7978 0.066382 0.034702 63.199 0.7998 0.065485 0.033124
10 25 8 0.036 4 0.076108 0.6968 0.10077 0.029367 36.529 0.6893 0.10122 0.027972
10 25 8 0.036 5 0.076108 0.5888 0.1252 0.026235 22.759 0.5887 0.12531 0.025075
10 25 8 0.036 6 0.076108 0.4888 0.13129 0.02416 14.68 0.4939 0.13363 0.023197
10 25 8 0.036 7 0.076108 0.3939 0.11719 0.022631 9.506 0.4007 0.12375 0.021852
10 25 8 0.036 8 0.076108 0.3069 0.09712 0.021493 6.142 0.3139 0.10076 0.020845
10 25 8 0.036 9 0.076108 0.2318 0.073943 0.020632 3.911 0.2385 0.077225 0.020106
10 25 8 0.036 10 0.076108 0.1636 0.049224 0.020039 2.486 0.1734 0.055068 0.019621
10 25 8 0.036 11 0.076108 0.1128 0.031468 0.019597 1.523 0.1226 0.038047 0.019219
10 25 8 0.036 12 0.076108 0.0737 0.019398 0.019239 0.928 0.0801 0.024178 0.01887
10 25 8 0.036 13 0.076108 0.046 0.010795 0.018751 0.538 0.0523 0.014189 0.018644
10 25 8 0.036 14 0.076108 0.0276 0.0059442 0.020428 0.313 0.032 0.0088048 0.019396
10 25 8 0.036 15 0.076108 0.0156 0.0031398 0.018589 0.165 0.0191 0.0045497 0.018259
10 25 8 0.036 16 0.076108 0.0073 0.0011378 0.018421 0.076 0.01 0.0020821 0.018213
10 25 8 0.036 17 0.076108 0.0035 0.00047823 0.018364 0.036 0.0055 0.00090065 0.018373
10 25 8 0.036 20 0.076108 0.0005 4.98e-05 0.018248 0.005 0.0002 1.998e-05 0.017943
10 25 9 0.036 1 0.0887263 0.9325 0.014929 0.071191 263.64 0.9325 0.014829 0.06893
10 25 9 0.036 2 0.088726 0.8023 0.054539 0.037054 62.803 0.8046 0.052651 0.035339
10 25 9 0.036 3 0.088726 0.6661 0.090091 0.029658 27.842 0.6692 0.091042 0.028229
10 25 9 0.036 4 0.088726 0.5243 0.10561 0.02675 15.099 0.5337 0.10858 0.025551
10 25 9 0.036 5 0.088726 0.4014 0.10022 0.024918 8.736 0.4058 0.10037 0.023891
10 25 9 0.036 6 0.088726 0.2984 0.080318 0.023733 5.253 0.2922 0.076396 0.022981
10 25 9 0.036 7 0.088726 0.2071 0.054915 0.022854 3.127 0.2036 0.054702 0.022038
10 25 9 0.036 8 0.088726 0.142 0.035011 0.02172 1.897 0.1356 0.034527 0.021102
10 25 9 0.036 9 0.088726 0.0917 0.019601 0.021221 1.125 0.0884 0.022088 0.020795
10 25 9 0.036 10 0.088726 0.0546 0.01069 0.020873 0.622 0.0562 0.013115 0.020154
10 25 9 0.036 11 0.088726 0.0309 0.0053005 0.020046 0.344 0.0322 0.0067899 0.019788
10 25 9 0.036 12 0.088726 0.0181 0.0028252 0.019864 0.19 0.0175 0.003287 0.019626
10 25 9 0.036 13 0.088726 0.0098 0.0014254 0.019751 0.1 0.0096 0.0017896 0.019519
10 25 9 0.036 14 0.088726 0.0046 0.00057942 0.0196 0.046 0.0052 0.00091387 0.019292
10 25 9 0.036 15 0.088726 0.0024 0.00029453 0.019528 0.024 0.0021 0.00022582 0.019297
10 25 9 0.036 16 0.088726 0.0011 0.00014894 0.020512 0.011 0.0012 0.0001387 0.017358
10 25 9 0.036 17 0.088726 0.0003 2.994e-05 0.017685 0.003 0.0009 8.9279e-05 0.016974
10 25 9 0.036 20 0.088726 0 0 0.017269 0 0 0 0.017161
10 25 10 0.036 1 0.111457 0.8685 0.026344 0.053562 141.67 0.86 0.028168 0.050954
10 25 10 0.036 2 0.11146 0.6672 0.070695 0.032411 29.576 0.6688 0.067714 0.030772
10 25 10 0.036 3 0.11146 0.4791 0.082896 0.028174 11.782 0.4798 0.081453 0.027001
10 25 10 0.036 4 0.11146 0.3241 0.069359 0.02622 5.781 0.3226 0.067717 0.025367
10 25 10 0.036 5 0.11146 0.2058 0.044691 0.025134 3.007 0.2074 0.04501 0.024508
10 25 10 0.036 6 0.11146 0.1237 0.025113 0.024425 1.577 0.1284 0.027321 0.023972
10 25 10 0.036 7 0.11146 0.0762 0.014268 0.023989 0.894 0.0758 0.01551 0.023523
10 25 10 0.036 8 0.11146 0.044 0.0077317 0.023603 0.489 0.045 0.0081231 0.023314
10 25 10 0.036 9 0.11146 0.0258 0.0040985 0.023405 0.278 0.0238 0.0041577 0.02311
10 25 10 0.036 10 0.11146 0.0137 0.0019643 0.023235 0.147 0.0135 0.0023701 0.022904
10 25 10 0.036 11 0.11146 0.0082 0.0011539 0.023169 0.086 0.0078 0.0013405 0.022776
10 25 10 0.036 12 0.11146 0.0045 0.00061036 0.023097 0.045 0.0055 0.00086061 0.022838
10 25 10 0.036 13 0.11146 0.0024 0.00023447 0.02301 0.024 0.0028 0.00029245 0.022665
10 25 10 0.036 14 0.11146 0.0012 0.00011868 0.022992 0.012 0.0012 0.00011868 0.022636
10 25 10 0.036 15 0.11146 0.0004 3.988e-05 0.022947 0.004 0.0005 4.98e-05 0.022642
10 25 10 0.036 16 0.11146 0.0001 1e-05 0.026138 0.001 0.0001 1e-05 0.023085
10 25 10 0.036 17 0.11146 0 0 0.023035 0 0.0001 1e-05 0.022716
10 25 10 0.036 20 0.11146 0 0 0.023033 0 0 0 0.022632
10 25 11 0.036 1 0.123571 0.7416 0.044234 0.046604 75.893 0.7485 0.043421 0.043009
10 25 11 0.036 2 0.12357 0.4746 0.064439 0.032144 13.373 0.4752 0.062748 0.030519
10 25 11 0.036 3 0.12357 0.2702 0.044176 0.029475 4.674 0.2753 0.046586 0.028537
10 25 11 0.036 4 0.12357 0.1477 0.024079 0.028249 2.015 0.1497 0.025445 0.027612
10 25 11 0.036 5 0.12357 0.0768 0.011874 0.027482 0.92 0.0767 0.01244 0.026998
10 25 11 0.036 6 0.12357 0.0389 0.005222 0.026927 0.432 0.0401 0.0064484 0.026528
10 25 11 0.036 7 0.12357 0.0196 0.0023182 0.026591 0.209 0.0202 0.0025545 0.026151
10 25 11 0.036 8 0.12357 0.0094 0.0010727 0.026506 0.097 0.0103 0.0013653 0.026151
10 25 11 0.036 9 0.12357 0.0045 0.00049024 0.026403 0.046 0.005 0.00063564 0.026056
10 25 11 0.036 10 0.12357 0.0017 0.0001873 0.026342 0.018 0.0024 0.00027451 0.025962
