k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 25 7 0.036 3 0.010011 0.7214 0.092094 0.020857 0.0037519 0.00085322 0.0045162 0.011424 73.619 0.7123 0.093712 0.020209
10 25 7 0.036 4 0.010011 0.5944 0.12908 0.014977 0.0036961 0.00075693 0.0040316 0.0061805 35.849 0.593 0.13224 0.014447
10 25 7 0.036 5 0.010011 0.4787 0.1419 0.012302 0.0036483 0.00067494 0.0037751 0.0039293 19.995 0.4814 0.14512 0.011717
10 25 7 0.036 6 0.010011 0.3825 0.13047 0.010731 0.0036536 0.00061212 0.0036026 0.0026004 11.784 0.3875 0.13605 0.010255
10 25 7 0.036 7 0.010011 0.2948 0.10454 0.0095776 0.0035978 0.00057534 0.0034185 0.0016774 6.878 0.299 0.10609 0.0093797
10 25 7 0.036 8 0.010011 0.2147 0.072827 0.008972 0.0035891 0.00055984 0.0033648 0.0011685 4.024 0.2179 0.076246 0.0085776
10 25 7 0.036 9 0.010011 0.1497 0.047347 0.0085322 0.0035962 0.00052459 0.0032915 0.00083529 2.306 0.1509 0.047607 0.0082605
10 25 7 0.036 10 0.010011 0.0971 0.026228 0.0081992 0.0036177 0.00050393 0.0032051 0.00058653 1.279 0.0976 0.027262 0.0079894
10 25 7 0.036 11 0.010011 0.0588 0.013196 0.0079869 0.0036015 0.00050826 0.0032036 0.00041219 0.703 0.0603 0.014328 0.00776
10 25 7 0.036 12 0.010011 0.0305 0.0054252 0.0077446 0.003567 0.00049537 0.0031358 0.00028167 0.349 0.0338 0.0065241 0.007626
10 25 7 0.036 13 0.010011 0.0164 0.0025536 0.0077028 0.0035937 0.00051386 0.0031426 0.00018301 0.181 0.0196 0.003119 0.0074956
10 25 7 0.036 14 0.010011 0.0091 0.0011684 0.0075398 0.0035675 0.0004945 0.003104 0.0001239 0.095 0.0089 0.001212 0.0073989
10 25 7 0.036 15 0.010011 0.0044 0.00050114 0.0075065 0.0035748 0.00049508 0.0031023 8.3056e-05 0.045 0.0045 0.00049024 0.0073238
10 25 7 0.036 16 0.010011 0.0018 0.00017694 0.0073481 0.0035636 0.00049026 0.0030223 5.4716e-05 0.019 0.0024 0.00025449 0.0073672
10 25 7 0.036 17 0.010011 0.0005 4.98e-05 0.0073137 0.0035605 0.00048818 0.0030163 3.6854e-05 0.005 0.0011 0.0001089 0.0072711
10 25 7 0.036 20 0.010011 0 0 0.0074356 0.0035758 0.0004933 0.0030862 2.8907e-05 0 0 0 0.0072741
10 25 8 0.036 1 0.011808 0.9011 0.02161 0.10353 0.0054293 0.0012449 0.005134 0.091401 631.76 0.902 0.020697 0.10099
10 25 8 0.036 2 0.011808 0.7393 0.072238 0.025131 0.0048758 0.0011789 0.004368 0.014315 90.346 0.7363 0.073025 0.024523
10 25 8 0.036 3 0.011808 0.5733 0.11769 0.015303 0.0046767 0.0010398 0.0035177 0.0057023 29.338 0.5687 0.1133 0.014675
10 25 8 0.036 4 0.011808 0.4307 0.12233 0.012311 0.004614 0.00094173 0.0032108 0.0031927 13.663 0.4227 0.11659 0.011458
10 25 8 0.036 5 0.011808 0.3169 0.10199 0.010254 0.0043371 0.00082634 0.0028544 0.0019156 7.231 0.3053 0.097079 0.0099446
10 25 8 0.036 6 0.011808 0.2233 0.072179 0.0094143 0.0043448 0.00077571 0.0027421 0.0012455 3.957 0.2131 0.066084 0.0090454
10 25 8 0.036 7 0.011808 0.1498 0.043303 0.0089224 0.0043386 0.00077473 0.0026596 0.00086215 2.183 0.1391 0.040021 0.0085629
10 25 8 0.036 8 0.011808 0.0975 0.02609 0.0085539 0.0043301 0.00076277 0.0025861 0.00060547 1.209 0.0841 0.020938 0.0082867
10 25 8 0.036 9 0.011808 0.0537 0.011298 0.008221 0.0043199 0.000706 0.0025375 0.00040408 0.605 0.0497 0.010611 0.0080105
10 25 8 0.036 10 0.011808 0.0302 0.0052332 0.0081298 0.0043817 0.000683 0.0025279 0.00028567 0.322 0.0278 0.004812 0.0078427
10 25 8 0.036 11 0.011808 0.0146 0.002169 0.0078702 0.0043129 0.00066918 0.0024611 0.00017567 0.15 0.013 0.0021131 0.0078464
10 25 8 0.036 12 0.011808 0.0064 0.0007598 0.0077478 0.0043038 0.00064273 0.0024454 0.00010314 0.066 0.0059 0.00083603 0.0076103
10 25 8 0.036 13 0.011808 0.003 0.00033133 0.0077154 0.0043102 0.00064181 0.0024485 6.9063e-05 0.03 0.0036 0.00042747 0.0076325
10 25 8 0.036 14 0.011808 0.0015 0.0001479 0.0075768 0.0043047 0.0006408 0.0023699 5.2426e-05 0.015 0.0015 0.00016792 0.0075797
10 25 8 0.036 15 0.011808 0.0007 6.958e-05 0.0075476 0.0042866 0.00063832 0.0023696 4.0661e-05 0.007 0.0005 4.98e-05 0.0076349
10 25 8 0.036 16 0.011808 0.0003 2.994e-05 0.0076685 0.0042865 0.00064762 0.0024568 3.6017e-05 0.003 0.0002 1.998e-05 0.007545
10 25 8 0.036 17 0.011808 0.0001 1e-05 0.0076581 0.0043092 0.00063883 0.0024371 3.182e-05 0.001 0 0 0.0075222
