k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 8 500 0.79432 0.9576 0.0093116 0.25138 0.9564 0.0095286 0.24976
10 16 1 0.79432 0.606 0.019584 0.092276 0.6086 0.018705 0.095683
10 16 2 0.79432 0.8283 0.018788 0.096914 0.8271 0.019475 0.093889
10 16 3 0.79432 0.9148 0.011933 0.097492 0.9128 0.011748 0.096294
10 16 4 0.79432 0.9509 0.0072464 0.099617 0.9497 0.008048 0.098669
10 16 5 0.79432 0.9675 0.0050988 0.10214 0.967 0.0053564 0.10131
10 16 8 0.79432 0.9837 0.0026269 0.10925 0.9832 0.0025803 0.1084
10 16 10 0.79432 0.9867 0.0019951 0.11423 0.9858 0.0022406 0.11342
10 16 12 0.79432 0.9885 0.0017995 0.1189 0.9868 0.0020878 0.11811
10 16 20 0.79432 0.9893 0.0016772 0.13784 0.9879 0.0019455 0.13691
10 16 25 0.79432 0.9893 0.0016772 0.14912 0.9879 0.0019455 0.14867
10 16 50 0.79432 0.9893 0.0016772 0.18514 0.988 0.0019379 0.18426
10 16 75 0.79432 0.9893 0.0016772 0.19223 0.988 0.0019379 0.19191
10 16 100 0.79432 0.9893 0.0016772 0.20505 0.988 0.0019379 0.20483
10 16 250 0.79432 0.9893 0.0016772 0.24456 0.988 0.0019379 0.24358
10 16 500 0.79432 0.9893 0.0016772 0.30824 0.988 0.0019379 0.30802
10 32 1 0.79432 0.6061 0.019572 0.099771 0.609 0.018658 0.098903
10 32 2 0.79432 0.8295 0.018258 0.10286 0.8282 0.019184 0.10203
10 32 3 0.79432 0.9168 0.011189 0.10522 0.9149 0.011079 0.10436
10 32 4 0.79432 0.9541 0.0061694 0.11159 0.9534 0.0071956 0.11033
10 32 5 0.79432 0.9718 0.0039487 0.1113 0.9712 0.004435 0.11046
10 32 8 0.79432 0.9899 0.0013694 0.11776 0.99 0.0014414 0.11714
10 32 10 0.79432 0.9934 0.00087732 0.12261 0.9941 0.00081601 0.12305
10 32 12 0.79432 0.996 0.0006046 0.12737 0.9952 0.00065762 0.12639
10 32 20 0.79432 0.9979 0.0003059 0.14611 0.998 0.00031632 0.14537
10 32 25 0.79432 0.9981 0.00028668 0.15839 0.998 0.00031632 0.15744
10 32 50 0.79432 0.9981 0.00028668 0.21732 0.9983 0.0002874 0.21698
10 32 75 0.79432 0.9981 0.00028668 0.26591 0.9983 0.0002874 0.2672
10 32 100 0.79432 0.9981 0.00028668 0.28786 0.9983 0.0002874 0.28689
10 32 250 0.79432 0.9981 0.00028668 0.33668 0.9983 0.0002874 0.33688
10 32 500 0.79432 0.9981 0.00028668 0.41075 0.9983 0.0002874 0.41224
10 64 1 0.79432 0.6062 0.019561 0.11494 0.609 0.018658 0.11412
10 64 2 0.79432 0.8295 0.018278 0.11796 0.8283 0.019128 0.11699
10 64 3 0.79432 0.9169 0.011136 0.12043 0.9151 0.011033 0.1194
10 64 4 0.79432 0.9545 0.0060458 0.12287 0.9537 0.0069933 0.12222
10 64 5 0.79432 0.972 0.0038999 0.12541 0.9716 0.0042977 0.12541
10 64 8 0.79432 0.9906 0.0011928 0.13287 0.9904 0.0013292 0.13175
10 64 10 0.79432 0.994 0.0007047 0.1383 0.995 0.0005956 0.13767
10 64 12 0.79432 0.9969 0.00038077 0.14226 0.9962 0.00044601 0.14168
10 64 20 0.79432 0.9992 9.9459e-05 0.16157 0.9994 5.97e-05 0.16312
10 64 25 0.79432 0.9995 4.98e-05 0.17943 0.9995 4.98e-05 0.17287
10 64 50 0.79432 0.9998 1.998e-05 0.23583 0.9999 1e-05 0.2354
10 64 75 0.79432 0.9998 1.998e-05 0.29831 0.9999 1e-05 0.29651
10 64 100 0.79432 0.9998 1.998e-05 0.35889 0.9999 1e-05 0.35831
10 64 250 0.79432 0.9998 1.998e-05 0.5071 0.9999 1e-05 0.50644
10 64 500 0.79432 0.9998 1.998e-05 0.60118 0.9999 1e-05 0.6025
10 128 1 0.79432 0.6062 0.019561 0.14286 0.609 0.018658 0.14228
10 128 2 0.79432 0.8295 0.018278 0.14616 0.8283 0.019128 0.14524
10 128 3 0.79432 0.9169 0.011136 0.14901 0.9151 0.011033 0.14902
10 128 4 0.79432 0.9545 0.0060458 0.15191 0.9537 0.0069933 0.15098
10 128 5 0.79432 0.972 0.0038999 0.15352 0.9716 0.0042977 0.1538
10 128 8 0.79432 0.9906 0.0011928 0.16155 0.9904 0.0013292 0.15984
10 128 10 0.79432 0.9941 0.00069589 0.16848 0.995 0.0005956 0.16566
10 128 12 0.79432 0.997 0.00037137 0.17041 0.9963 0.00041673 0.16997
10 128 20 0.79432 0.9993 8.96e-05 0.18984 0.9995 4.98e-05 0.18915
10 128 25 0.79432 0.9996 3.988e-05 0.20219 0.9996 3.988e-05 0.20122
10 128 50 0.79432 0.9999 1e-05 0.26398 1 0 0.2637
10 128 75 0.79432 0.9999 1e-05 0.3281 1 0 0.32699
10 128 100 0.79432 1 0 0.39346 1 0 0.39384
10 128 250 0.79432 1 0 0.75858 1 0 0.75991
10 128 500 0.79432 1 0 0.94305 1 0 0.94232
